aficionado_id,segmento_real,tramo_edad,sexo,tipo_abono,antiguedad_anios,provincia
AF-664C935608,Aficionado latente,25-34,Mujer,Abonado,10.0,Barcelona
AF-051D3F8133,Hincha digital intensivo,25-34,Mujer,Socio digital,3.0,Barcelona
AF-DD360253B0,Comprador de servicios,35-44,Mujer,Socio digital,10.0,A Coruña
AF-098A269628,Comprador de servicios,35-44,Hombre,Abonado,2.0,A Coruña
AF-0DA851833C,Aficionado latente,25-34,Hombre,Abonado,4.0,A Coruña
AF-F9CFA62FD2,Aficionado latente,18-24,Hombre,Abonado,4.0,Madrid
AF-06744EFE5F,Comprador de servicios,55+,Hombre,Abonado,2.0,Ourense
AF-02A7FBB908,Consumidor de resultados,18-24,Hombre,Socio digital,5.0,Otras
AF-AAC1AA1B94,Hincha digital intensivo,25-34,Hombre,Abonado,7.0,Pontevedra
AF-A89D0CE8F0,Hincha digital intensivo,25-34,Hombre,Abonado,3.0,Asturias
AF-7FACB7D105,Consumidor de resultados,25-34,Mujer,Abonado,19.0,A Coruña
AF-B7DE50E70B,Comprador de servicios,45-54,Hombre,Socio digital,25.0,Pontevedra
AF-B34405C874,Comprador de servicios,45-54,Mujer,Socio digital,31.0,A Coruña
AF-EFCA65B407,Aficionado latente,35-44,Hombre,Socio digital,6.0,Barcelona
AF-E8DC663CE9,Comprador de servicios,55+,Mujer,Abonado,5.0,A Coruña
AF-015C0ED11F,Consumidor de resultados,25-34,Hombre,Socio digital,7.0,Pontevedra
AF-57CD8166FE,Consumidor de resultados,55+,Hombre,Abonado,8.0,Otras
AF-1B0CD3857E,Aficionado latente,35-44,Hombre,No socio,7.0,Lugo
AF-0D781ADF95,Consumidor de resultados,35-44,Hombre,No socio,2.0,Otras
AF-8BB1300615,Hincha digital intensivo,25-34,Mujer,No socio,5.0,A Coruña
AF-D79AA1B6BC,Hincha digital intensivo,18-24,Hombre,No socio,14.0,A Coruña
AF-6044142FC9,Consumidor de resultados,45-54,Hombre,Socio digital,3.0,Pontevedra
AF-887AD8C467,Consumidor de resultados,35-44,Hombre,Socio digital,12.0,Lugo
AF-9EA547B4B8,Comprador de servicios,45-54,Hombre,Socio digital,3.0,Barcelona
AF-6A1E16C160,Aficionado latente,45-54,Hombre,No socio,8.0,Lugo
AF-B2A08918A3,Comprador de servicios,18-24,Mujer,Socio digital,15.0,Ourense
AF-6ABC201CF7,Comprador de servicios,45-54,Hombre,No socio,3.0,Madrid
AF-D9326E0A8A,Hincha digital intensivo,25-34,Mujer,No socio,7.0,Pontevedra
AF-F6C6A752B8,Consumidor de resultados,25-34,Hombre,Abonado,4.0,Pontevedra
AF-BBCABD4F64,Aficionado latente,35-44,Hombre,Abonado,7.0,Madrid
AF-7219BB587C,Comprador de servicios,35-44,Hombre,No socio,9.0,A Coruña
AF-97CD301DFB,Consumidor de resultados,35-44,Mujer,Abonado,15.0,A Coruña
AF-B77EF57FB9,Aficionado latente,55+,Hombre,No socio,8.0,A Coruña
AF-9D53E81E23,Consumidor de resultados,45-54,Hombre,No socio,7.0,Lugo
AF-8D4685AD67,Comprador de servicios,35-44,Mujer,No socio,7.0,Lugo
