aficionado_id,semana,sesiones,duracion_media_min,pantallas_vistas,notificaciones_recibidas,notificaciones_abiertas,compras_entradas,gasto_tienda_eur
AF-664C935608,2024-08-12,1,2.23,3.0,4,0,0,0.0
AF-664C935608,2024-08-19,2,7.64,9.0,8,1,0,0.0
AF-664C935608,2024-08-26,1,3.85,3.0,2,1,0,0.0
AF-664C935608,2024-09-02,2,1.62,2.0,8,2,0,0.0
AF-664C935608,2024-09-09,2,4.83,9.0,7,4,0,0.0
AF-664C935608,2024-09-16,1,6.52,8.0,7,1,0,0.0
AF-664C935608,2024-09-23,1,3.54,3.0,7,4,0,0.0
AF-664C935608,2024-09-30,1,4.65,6.0,4,3,0,52.91
AF-664C935608,2024-10-07,3,12.17,14.0,3,0,0,0.0
AF-664C935608,2024-10-14,0,0.0,0.0,5,0,0,0.0
AF-664C935608,2024-10-21,1,5.52,6.0,8,2,0,0.0
AF-664C935608,2024-10-28,2,5.6,11.0,3,2,0,0.0
AF-664C935608,2024-11-04,2,4.42,7.0,8,2,0,0.0
AF-664C935608,2024-11-11,1,2.56,4.0,6,1,0,0.0
AF-664C935608,2024-11-18,2,2.63,2.0,5,2,0,0.0
AF-664C935608,2024-11-25,2,2.71,2.0,2,2,0,0.0
AF-664C935608,2024-12-02,2,10.21,16.0,7,1,0,0.0
AF-664C935608,2024-12-09,0,0.0,0.0,3,0,0,0.0
AF-664C935608,2024-12-16,1,1.07,1.0,6,0,0,0.0
AF-664C935608,2024-12-23,3,6.86,17.0,7,0,0,0.0
AF-664C935608,2024-12-30,1,2.66,2.0,7,1,0,0.0
AF-664C935608,2025-01-06,0,0.0,0.0,4,0,0,0.0
AF-664C935608,2025-01-13,1,6.12,12.0,2,0,0,0.0
AF-664C935608,2025-01-20,0,0.0,0.0,6,0,0,0.0
AF-664C935608,2025-01-27,1,1.3,2.0,7,1,0,0.0
AF-664C935608,2025-02-03,1,2.38,4.0,8,1,0,0.0
AF-664C935608,2025-02-10,3,10.28,17.0,7,2,0,0.0
AF-664C935608,2025-02-17,5,4.74,3.0,2,0,0,0.0
AF-664C935608,2025-02-24,1,2.88,7.0,5,2,0,0.0
AF-664C935608,2025-03-03,2,2.25,4.0,8,1,0,0.0
AF-664C935608,2025-03-10,3,5.93,12.0,3,0,0,0.0
AF-664C935608,2025-03-17,3,3.73,2.0,3,1,0,0.0
AF-664C935608,2025-03-24,1,2.84,5.0,4,0,0,0.0
AF-664C935608,2025-03-31,1,4.23,5.0,5,2,0,0.0
AF-664C935608,2025-04-07,0,0.0,0.0,6,0,0,0.0
AF-664C935608,2025-04-14,0,0.0,0.0,5,0,0,0.0
AF-664C935608,2025-04-21,0,0.0,0.0,6,0,0,0.0
AF-664C935608,2025-04-28,1,2.44,6.0,8,0,0,0.0
AF-664C935608,2025-05-05,3,4.34,10.0,7,2,0,0.0
AF-664C935608,2025-05-12,1,9.36,13.0,8,2,0,0.0
AF-664C935608,2025-05-19,0,0.0,0.0,5,0,0,0.0
AF-664C935608,2025-05-26,1,2.45,2.0,6,0,0,0.0
AF-664C935608,2025-06-02,2,8.93,18.0,5,1,0,0.0
AF-664C935608,2025-06-09,1,7.53,9.0,2,0,0,0.0
AF-051D3F8133,2024-08-12,3,17.85,35.0,8,2,0,0.0
AF-051D3F8133,2024-08-19,7,2.88,1.0,4,3,0,0.0
AF-051D3F8133,2024-08-26,7,5.52,2.0,5,2,0,0.0
AF-051D3F8133,2024-09-02,8,18.83,21.0,4,3,0,0.0
AF-051D3F8133,2024-09-09,10,7.99,14.0,6,2,0,0.0
AF-051D3F8133,2024-09-16,3,9.7,12.0,4,2,0,0.0
AF-051D3F8133,2024-09-23,10,10.12,12.0,5,3,0,0.0
AF-051D3F8133,2024-09-30,3,9.64,13.0,7,2,0,0.0
AF-051D3F8133,2024-10-07,8,1.79,2.0,2,2,0,40.47
AF-051D3F8133,2024-10-14,7,18.58,29.0,2,2,0,0.0
AF-051D3F8133,2024-10-21,10,4.71,5.0,6,4,0,0.0
AF-051D3F8133,2024-10-28,6,9.23,10.0,8,5,0,0.0
AF-051D3F8133,2024-11-04,7,5.53,12.0,7,4,0,0.0
AF-051D3F8133,2024-11-11,7,6.28,9.0,2,1,0,0.0
AF-051D3F8133,2024-11-18,12,5.64,9.0,2,1,0,0.0
AF-051D3F8133,2024-11-25,13,11.3,14.0,7,3,0,0.0
AF-051D3F8133,2024-12-02,10,10.13,22.0,3,0,0,0.0
AF-051D3F8133,2024-12-09,2,12.29,20.0,3,2,0,0.0
AF-051D3F8133,2024-12-16,8,19.64,28.0,8,6,0,0.0
AF-051D3F8133,2024-12-23,11,8.71,12.0,6,4,0,0.0
AF-051D3F8133,2024-12-30,5,9.72,20.0,8,3,0,0.0
AF-051D3F8133,2025-01-06,4,5.53,7.0,2,2,0,0.0
AF-051D3F8133,2025-01-13,8,17.26,30.0,5,2,0,0.0
AF-051D3F8133,2025-01-20,11,16.57,20.0,7,3,0,0.0
AF-051D3F8133,2025-01-27,7,9.97,13.0,6,2,0,0.0
AF-051D3F8133,2025-02-03,1,9.78,15.0,6,3,0,0.0
AF-051D3F8133,2025-02-10,9,5.29,7.0,3,3,0,0.0
AF-051D3F8133,2025-02-17,7,2.59,3.0,8,4,1,0.0
AF-051D3F8133,2025-02-24,6,4.05,4.0,5,1,0,0.0
AF-051D3F8133,2025-03-03,5,8.84,15.0,2,0,0,0.0
AF-051D3F8133,2025-03-10,10,3.52,5.0,2,2,0,0.0
AF-051D3F8133,2025-03-17,7,6.05,12.0,8,3,0,0.0
AF-051D3F8133,2025-03-24,12,12.86,12.0,5,2,0,0.0
AF-051D3F8133,2025-03-31,8,3.85,5.0,7,4,0,0.0
AF-051D3F8133,2025-04-07,2,10.37,20.0,4,3,1,0.0
AF-051D3F8133,2025-04-14,10,2.51,3.0,4,2,0,0.0
AF-051D3F8133,2025-04-21,6,0.7,1.0,6,4,0,0.0
AF-051D3F8133,2025-04-28,2,1.92,2.0,2,1,0,0.0
AF-051D3F8133,2025-05-05,8,1.61,1.0,3,2,0,0.0
AF-051D3F8133,2025-05-12,12,5.75,7.0,3,0,0,0.0
AF-051D3F8133,2025-05-19,7,8.97,11.0,2,1,0,0.0
AF-051D3F8133,2025-05-26,6,9.66,17.0,8,6,0,35.68
AF-051D3F8133,2025-06-02,3,7.22,11.0,2,0,0,0.0
AF-051D3F8133,2025-06-09,7,3.44,2.0,2,1,1,0.0
AF-DD360253B0,2024-08-12,7,12.8,20.0,7,5,0,0.0
AF-DD360253B0,2024-08-19,6,8.89,13.0,7,2,0,0.0
AF-DD360253B0,2024-08-26,10,7.59,7.0,4,4,0,11.78
AF-DD360253B0,2024-09-02,6,10.7,19.0,4,4,1,0.0
AF-DD360253B0,2024-09-09,5,4.58,6.0,2,0,0,0.0
AF-DD360253B0,2024-09-16,5,2.09,2.0,6,6,0,0.0
AF-DD360253B0,2024-09-23,14,8.83,6.0,4,3,0,0.0
AF-DD360253B0,2024-09-30,12,5.78,7.0,3,2,0,0.0
AF-DD360253B0,2024-10-07,13,11.08,14.0,3,1,0,0.0
AF-DD360253B0,2024-10-14,9,6.43,4.0,4,1,0,0.0
AF-DD360253B0,2024-10-21,15,7.62,13.0,4,3,0,0.0
AF-DD360253B0,2024-10-28,5,15.69,26.0,4,4,0,0.0
AF-DD360253B0,2024-11-04,13,3.87,9.0,4,3,1,0.0
AF-DD360253B0,2024-11-11,14,21.33,41.0,7,5,0,0.0
AF-DD360253B0,2024-11-18,9,8.93,11.0,4,4,0,0.0
AF-DD360253B0,2024-11-25,14,10.57,23.0,7,4,0,0.0
AF-DD360253B0,2024-12-02,18,8.55,8.0,5,3,1,0.0
AF-DD360253B0,2024-12-09,1,5.53,9.0,3,1,0,0.0
AF-DD360253B0,2024-12-16,5,15.68,26.0,3,2,0,0.0
AF-DD360253B0,2024-12-23,11,10.17,22.0,6,2,0,0.0
AF-DD360253B0,2024-12-30,13,5.24,6.0,4,2,0,0.0
AF-DD360253B0,2025-01-06,9,16.75,30.0,6,3,0,0.0
AF-DD360253B0,2025-01-13,7,4.36,5.0,3,3,0,42.05
AF-DD360253B0,2025-01-20,10,2.31,4.0,6,4,0,0.0
AF-DD360253B0,2025-01-27,8,6.62,14.0,7,4,0,0.0
AF-DD360253B0,2025-02-03,4,27.25,32.0,7,2,0,0.0
AF-DD360253B0,2025-02-10,8,3.7,6.0,3,3,1,0.0
AF-DD360253B0,2025-02-17,8,2.34,8.0,5,2,0,0.0
AF-DD360253B0,2025-02-24,7,1.24,2.0,8,6,0,0.0
AF-DD360253B0,2025-03-03,9,7.92,11.0,4,3,0,0.0
