jornada,jugador_id,ventana,menciones,sent_positivo,sent_negativo,sent_neutro
1,J01,Pre,49,29,10,10
1,J01,Post,178,100,37,41
1,J02,Pre,207,106,48,53
1,J02,Post,39,18,8,13
1,J03,Pre,167,87,42,38
1,J03,Post,121,59,31,31
1,J04,Pre,346,156,95,95
1,J04,Post,599,354,107,138
1,J05,Pre,137,68,24,45
1,J05,Post,53,25,14,14
1,J06,Pre,131,59,30,42
1,J06,Post,237,112,53,72
1,J07,Pre,195,105,45,45
1,J07,Post,291,109,86,96
1,J08,Pre,88,41,22,25
1,J08,Post,37,15,7,15
1,J09,Pre,191,99,38,54
1,J09,Post,363,171,86,106
1,J10,Pre,71,34,19,18
1,J10,Post,217,107,39,71
1,J11,Pre,148,88,24,36
1,J11,Post,319,147,77,95
1,J12,Pre,164,94,30,40
1,J12,Post,328,158,89,81
1,J13,Pre,172,99,37,36
1,J13,Post,321,157,95,69
1,J14,Pre,66,36,15,15
1,J14,Post,187,126,34,27
1,J15,Pre,58,26,13,19
1,J15,Post,29,12,8,9
1,J16,Pre,113,54,30,29
1,J16,Post,0,0,0,0
1,J17,Pre,147,76,27,44
1,J17,Post,203,75,46,82
1,J18,Pre,433,223,122,88
1,J18,Post,475,231,91,153
1,J19,Pre,183,99,44,40
1,J19,Post,348,164,78,106
1,J20,Pre,253,132,43,78
1,J20,Post,21,11,5,5
1,J21,Pre,313,175,65,73
1,J21,Post,688,306,175,207
1,J22,Pre,295,156,78,61
1,J22,Post,84,43,15,26
1,J23,Pre,463,274,108,81
1,J23,Post,526,243,141,142
1,J24,Pre,312,161,70,81
1,J24,Post,414,189,87,138
1,J25,Pre,295,160,69,66
1,J25,Post,101,50,28,23
2,J01,Pre,105,50,21,34
2,J01,Post,18,8,5,5
2,J02,Pre,187,89,38,60
2,J02,Post,514,325,100,89
2,J03,Pre,195,95,43,57
2,J03,Post,444,297,53,94
2,J04,Pre,328,193,50,85
2,J04,Post,174,84,32,58
2,J05,Pre,245,154,52,39
2,J05,Post,119,52,37,30
