post_id,fecha,plataforma,tipo_contenido,formato,es_dia_partido,alcance,impresiones,likes,comentarios,compartidos,guardados,comentarios_positivos,comentarios_negativos,interacciones,engagement_rate,atipico
P00001,2024-08-05,Instagram,Entrenamiento,Vídeo corto,0,10352.0,16610.0,470.0,29,49,41.0,18,4,589.0,0.05689721792890263,False
P00002,2024-08-05,Instagram,Patrocinador,Imagen,0,12634.0,19037.0,196.0,14,14,13.0,8,2,237.0,0.01875890454329587,False
P00003,2024-08-05,X,Institucional,Imagen,0,28112.0,45544.0,122.0,6,6,21.0,3,1,155.0,0.005513659647125782,False
P00004,2024-08-05,Facebook,Patrocinador,Imagen,0,17709.0,22778.0,77.0,6,6,5.0,2,1,94.0,0.005308035462194364,False
P00005,2024-08-05,Facebook,Cantera,Vídeo corto,0,30518.0,36656.0,172.0,11,8,17.0,6,2,208.0,0.006815649780457435,False
P00006,2024-08-06,Instagram,Resumen,Imagen,0,46075.0,53079.0,3197.0,297,261,104.0,150,57,3859.0,0.08375474769397721,False
P00007,2024-08-06,Instagram,Entrenamiento,Imagen,0,22168.0,27740.0,833.0,81,91,52.0,46,18,1057.0,0.04768134247564056,False
P00008,2024-08-06,Instagram,Efeméride,Vídeo largo,0,26923.0,38123.0,1342.0,79,119,84.0,45,16,1624.0,0.060320172343349555,False
P00009,2024-08-06,X,Patrocinador,Vídeo corto,0,21169.0,24646.0,274.0,20,20,22.0,11,5,336.0,0.015872266049411877,False
P00010,2024-08-06,X,Fichajes,Vídeo largo,0,14533.0,22640.0,266.0,18,27,10.0,10,4,321.0,0.022087662561067915,False
P00011,2024-08-06,Facebook,Entrenamiento,Vídeo largo,0,14519.0,16789.0,74.0,7,5,8.0,3,1,94.0,0.006474275087815965,False
P00012,2024-08-06,Facebook,Entrenamiento,Vídeo corto,0,7852.0,9327.0,99.0,4,6,7.0,1,1,116.0,0.014773306164034642,False
