jornada,ER_medio,interacciones,alcance,posicion,puntos_acumulados,goles_favor,resultado,asistencia,puntos_jornada
1,0.07705025990405867,11666.0,252478.0,19,1,3,Empate,12393.0,1
2,0.07737008287533026,6788.0,146323.0,9,4,2,Victoria,,3
3,0.07943249200980441,18567.0,278325.0,1,7,3,Victoria,12031.0,3
4,0.037066904790206426,8558.5,244346.0,6,7,0,Derrota,,0
5,0.03706448014756531,12087.0,397890.0,9,7,1,Derrota,12826.0,0
6,0.06747417495060534,10502.0,162764.0,11,8,1,Empate,,1
7,0.08940154769371132,13061.0,218715.0,4,11,2,Victoria,12176.0,3
8,0.021175953056934784,6348.5,314881.0,10,11,0,Derrota,,0
9,0.05018048786542987,7038.0,174674.0,5,14,2,Victoria,10900.0,3
10,0.03663998796237419,8022.0,308334.0,9,14,1,Derrota,,0
11,0.03586830565188972,15321.0,439620.0,13,14,0,Derrota,,0
12,0.03108536940462785,9099.5,249896.0,13,14,0,Derrota,,0
13,0.04440568545710919,12693.5,352833.0,12,17,2,Victoria,12173.0,3
14,0.1034773940967467,29257.0,303008.0,8,20,5,Victoria,11142.0,3
15,0.03697132669060677,10692.0,351684.0,13,20,1,Derrota,13004.0,0
16,0.0755048629299019,15335.0,288810.0,8,23,1,Victoria,,3
17,0.05016323587283314,19616.0,402660.0,10,24,2,Empate,12290.0,1
18,0.03280205143496414,8590.0,251573.0,5,27,2,Victoria,,3
19,0.0700832411471801,14886.0,276406.0,6,28,1,Empate,,1
20,0.07361998217244906,22563.0,395106.0,5,31,2,Victoria,,3
21,0.0460499364913073,19088.0,415219.0,5,31,0,Derrota,,0
22,0.032060794030202344,9574.0,327033.0,7,31,0,Derrota,12084.0,0
23,0.021362330211527607,4402.5,221331.5,9,31,0,Derrota,11067.0,0
24,0.06113856033156881,16017.0,315412.0,7,34,3,Victoria,9922.0,3
25,0.04874667504454562,16789.0,309455.5,6,37,3,Victoria,,3
26,0.04683524802059401,9653.0,208528.0,5,37,0,Derrota,,0
27,0.05522558307359468,11184.0,227366.0,7,38,1,Empate,10929.0,1
28,0.028457252783375936,15051.0,460515.0,9,39,0,Empate,9030.0,1
29,0.034198663634694114,14456.0,419813.0,8,39,1,Derrota,10584.0,0
30,0.03119632571088202,9284.5,300919.0,12,39,2,Derrota,,0
31,0.056425027183758,16238.0,283948.0,9,42,1,Victoria,10264.0,3
32,0.023458352750176176,12457.0,467853.5,10,42,0,Derrota,,0
33,0.05665482188895252,21566.0,371771.0,10,45,3,Victoria,10836.0,3
34,0.03225197749003947,10462.0,338871.0,10,45,2,Derrota,,0
35,0.0329333459050069,15605.0,415111.0,10,46,1,Empate,11903.0,1
36,0.024904709056153763,8089.0,357725.0,13,47,1,Empate,,1
37,0.05295372691764485,25830.0,480241.0,13,48,0,Empate,12021.0,1
38,0.041555289325315936,15361.0,404315.0,11,49,0,Empate,,1
39,0.08423351199243675,26637.0,362979.0,10,52,1,Victoria,11779.0,3
