jornada,jugador_id,ventana,menciones,sent_positivo,sent_negativo,sent_neutro,titular,minutos,goles,asistencias,tarjetas,valoracion,pct_positivo
1,J01,Post,178,100,37,41,1,82,0,0,0,6.46,0.5617977528089888
1,J04,Post,599,354,107,138,1,90,0,0,1,6.21,0.5909849749582637
1,J06,Post,237,112,53,72,1,73,0,0,0,5.92,0.47257383966244726
1,J07,Post,291,109,86,96,1,71,0,0,1,5.94,0.3745704467353952
1,J09,Post,363,171,86,106,1,87,0,0,0,5.7,0.47107438016528924
1,J10,Post,217,107,39,71,1,89,0,0,0,6.16,0.4930875576036866
1,J11,Post,319,147,77,95,1,90,0,0,0,5.7,0.4608150470219436
1,J12,Post,328,158,89,81,0,17,0,0,0,6.01,0.4817073170731707
1,J13,Post,321,157,95,69,0,12,0,0,1,6.57,0.48909657320872274
1,J14,Post,187,126,34,27,1,79,1,0,0,7.01,0.6737967914438503
1,J17,Post,203,75,46,82,0,36,0,0,0,4.59,0.3694581280788177
1,J18,Post,475,231,91,153,1,90,0,0,0,5.55,0.4863157894736842
1,J19,Post,348,164,78,106,1,71,0,0,0,5.77,0.47126436781609193
1,J21,Post,688,306,175,207,1,90,0,0,0,7.22,0.44476744186046513
1,J23,Post,526,243,141,142,0,1,0,0,0,6.03,0.4619771863117871
1,J24,Post,414,189,87,138,0,24,0,0,0,5.8,0.45652173913043476
2,J02,Post,514,325,100,89,1,82,0,0,0,6.49,0.632295719844358
2,J03,Post,444,297,53,94,0,17,0,0,1,6.24,0.668918918918919
2,J06,Post,346,261,47,38,0,9,0,0,0,6.13,0.7543352601156069
2,J07,Post,861,656,111,94,1,90,1,0,0,7.75,0.7619047619047619
2,J08,Post,241,128,54,59,1,80,0,0,1,5.12,0.5311203319502075
2,J09,Post,802,654,83,65,0,12,0,1,0,7.11,0.8154613466334164
2,J12,Post,471,292,94,85,0,13,0,0,0,6.03,0.6199575371549894
2,J13,Post,383,233,53,97,1,89,0,0,1,5.39,0.608355091383812
2,J14,Post,125,77,18,30,1,75,0,0,0,5.94,0.616
2,J16,Post,219,150,38,31,1,69,0,0,0,5.33,0.684931506849315
2,J17,Post,416,283,58,75,1,74,0,0,0,7.26,0.6802884615384616
2,J18,Post,644,440,106,98,1,90,0,0,0,5.29,0.6832298136645962
2,J19,Post,489,304,72,113,1,90,0,1,0,5.48,0.621676891615542
2,J22,Post,1216,993,130,93,1,85,1,0,1,6.32,0.8166118421052632
2,J24,Post,519,305,76,138,0,30,0,0,0,5.79,0.5876685934489403
2,J25,Post,523,396,50,77,1,83,0,0,1,6.36,0.7571701720841301
3,J01,Post,207,142,22,43,1,90,0,0,0,5.64,0.6859903381642513
3,J05,Post,542,339,73,130,1,77,0,0,0,6.04,0.6254612546125461
3,J06,Post,424,336,40,48,1,88,0,0,0,7.13,0.7924528301886793
3,J07,Post,535,320,120,95,0,5,0,0,0,6.84,0.5981308411214953
3,J09,Post,505,369,67,69,1,74,0,0,0,6.38,0.7306930693069307
3,J10,Post,273,176,36,61,1,86,0,0,0,6.64,0.6446886446886447
3,J11,Post,403,234,87,82,1,77,0,0,0,5.54,0.5806451612903226
3,J13,Post,493,316,67,110,1,78,0,0,0,5.93,0.640973630831643
3,J14,Post,128,87,21,20,0,26,0,0,0,6.38,0.6796875
3,J15,Post,160,102,25,33,1,89,0,0,0,5.95,0.6375
3,J18,Post,739,433,144,162,0,26,0,0,0,6.2,0.5859269282814614
3,J21,Post,830,502,126,202,0,13,0,0,0,6.46,0.6048192771084338
3,J22,Post,791,524,114,153,0,39,0,0,1,6.94,0.6624525916561315
3,J23,Post,1168,853,135,180,1,90,1,0,0,6.69,0.7303082191780822
3,J24,Post,576,375,102,99,1,66,0,0,0,6.21,0.6510416666666666
3,J25,Post,685,491,69,125,1,90,0,0,0,6.88,0.7167883211678832
4,J01,Post,116,31,37,48,1,90,0,0,0,5.6,0.2672413793103448
4,J02,Post,262,77,105,80,0,8,0,0,0,5.54,0.29389312977099236
4,J03,Post,333,104,94,135,1,84,0,0,0,5.8,0.3123123123123123
4,J04,Post,458,157,155,146,1,76,0,0,0,5.95,0.34279475982532753
4,J05,Post,247,77,84,86,1,85,0,0,0,5.98,0.3117408906882591
4,J06,Post,176,34,71,71,1,73,0,0,0,4.88,0.19318181818181818
4,J07,Post,291,69,84,138,1,77,0,0,0,5.44,0.23711340206185566
4,J08,Post,132,37,52,43,0,3,0,0,0,5.75,0.2803030303030303
4,J11,Post,213,68,75,70,0,26,0,0,0,5.78,0.3192488262910798
4,J13,Post,283,95,90,98,1,84,0,0,0,6.01,0.33568904593639576
4,J15,Post,133,54,43,36,1,90,0,0,0,6.98,0.40601503759398494
4,J16,Post,142,41,59,42,0,45,0,0,0,5.07,0.2887323943661972
4,J17,Post,451,193,144,114,1,82,0,1,0,7.02,0.4279379157427938
4,J18,Post,712,298,236,178,1,60,0,0,0,7.34,0.41853932584269665
4,J20,Post,481,135,149,197,0,23,0,0,0,6.58,0.2806652806652807
4,J24,Post,418,110,141,167,1,90,0,0,0,6.14,0.2631578947368421
5,J02,Post,325,106,119,100,0,25,0,0,0,6.19,0.3261538461538461
5,J07,Post,300,45,115,140,1,90,0,0,0,5.17,0.15
5,J08,Post,127,40,30,57,1,74,0,0,0,4.97,0.31496062992125984
5,J10,Post,162,63,50,49,1,76,0,0,1,6.01,0.3888888888888889
5,J11,Post,697,323,135,239,1,78,1,0,0,6.97,0.4634146341463415
5,J12,Post,183,40,70,73,1,85,0,0,0,4.69,0.2185792349726776
5,J13,Post,480,194,140,146,0,38,0,0,0,6.65,0.4041666666666667
5,J15,Post,127,37,50,40,1,90,0,0,0,5.9,0.29133858267716534
5,J16,Post,209,75,66,68,0,11,0,0,0,6.64,0.3588516746411483
5,J17,Post,233,58,65,110,1,90,0,0,0,5.89,0.24892703862660945
5,J18,Post,579,172,153,254,1,88,0,0,0,6.28,0.2970639032815199
5,J19,Post,276,50,102,124,1,90,0,0,0,5.2,0.18115942028985507
5,J20,Post,352,88,115,149,1,67,0,0,0,6.25,0.25
5,J21,Post,562,127,175,260,0,39,0,0,0,5.85,0.22597864768683273
5,J24,Post,291,71,128,92,1,88,0,0,0,5.36,0.24398625429553264
5,J25,Post,276,61,127,88,0,23,0,0,0,5.41,0.2210144927536232
6,J01,Post,59,27,11,21,0,17,0,0,0,5.12,0.4576271186440678
6,J03,Post,365,212,53,100,1,74,0,0,0,5.77,0.5808219178082191
6,J04,Post,501,234,107,160,1,88,0,0,0,6.48,0.46706586826347307
6,J05,Post,435,204,116,115,1,90,0,0,0,6.25,0.4689655172413793
6,J08,Post,247,140,49,58,1,90,0,1,0,6.57,0.5668016194331984
6,J10,Post,160,68,34,58,0,39,0,0,0,5.62,0.425
6,J12,Post,637,411,91,135,1,75,1,0,0,6.39,0.6452119309262166
6,J13,Post,373,179,92,102,1,82,0,0,0,5.82,0.47989276139410186
6,J14,Post,106,47,30,29,1,90,0,0,1,6.09,0.44339622641509435
6,J15,Post,150,85,30,35,1,73,0,0,0,6.18,0.5666666666666667
6,J17,Post,331,156,101,74,0,21,0,0,0,6.87,0.47129909365558914
6,J18,Post,478,211,99,168,1,84,0,0,0,5.78,0.44142259414225943
6,J19,Post,384,206,89,89,1,90,0,0,0,6.42,0.5364583333333334
6,J22,Post,480,218,115,147,0,28,0,0,0,6.1,0.45416666666666666
6,J23,Post,523,206,139,178,0,42,0,0,0,6.02,0.3938814531548757
6,J25,Post,477,270,112,95,1,69,0,0,0,7.23,0.5660377358490566
7,J02,Post,490,320,72,98,1,63,0,0,0,5.29,0.6530612244897959
7,J03,Post,584,447,70,67,1,67,0,1,0,6.89,0.7654109589041096
7,J04,Post,1249,1034,117,98,1,81,1,0,0,7.7,0.8278622898318655
7,J05,Post,410,253,65,92,0,26,0,0,0,5.36,0.6170731707317073
7,J07,Post,313,173,55,85,1,68,0,0,0,5.13,0.5527156549520766
7,J08,Post,280,183,55,42,1,90,0,0,0,6.73,0.6535714285714286
7,J09,Post,493,337,72,84,1,72,0,0,0,5.88,0.6835699797160243
7,J11,Post,457,308,75,74,0,33,0,0,0,5.96,0.6739606126914661
7,J15,Post,138,76,30,32,0,45,0,0,1,4.7,0.5507246376811594
7,J16,Post,256,161,54,41,1,77,0,0,1,6.42,0.62890625
