aficionado_id,tramo_edad,sexo,tipo_abono,antiguedad_anios,provincia,segmento,cluster
AF-664C935608,25-34,Mujer,Abonado,10.0,Barcelona,Aficionado latente,0
AF-051D3F8133,25-34,Mujer,Socio digital,3.0,Barcelona,Hincha digital intensivo,3
AF-DD360253B0,35-44,Mujer,Socio digital,10.0,A Coruña,Sin segmentar,-1
AF-098A269628,35-44,Hombre,Abonado,2.0,A Coruña,Sin segmentar,-1
AF-0DA851833C,25-34,Hombre,Abonado,4.0,A Coruña,Sin segmentar,-1
AF-F9CFA62FD2,18-24,Hombre,Abonado,4.0,Madrid,Sin segmentar,-1
AF-06744EFE5F,55+,Hombre,Abonado,2.0,Ourense,Sin segmentar,-1
AF-02A7FBB908,18-24,Hombre,Socio digital,5.0,Otras,Sin segmentar,-1
AF-AAC1AA1B94,25-34,Hombre,Abonado,7.0,Pontevedra,Sin segmentar,-1
AF-A89D0CE8F0,25-34,Hombre,Abonado,3.0,Asturias,Sin segmentar,-1
AF-7FACB7D105,25-34,Mujer,Abonado,19.0,A Coruña,Seguidor social,2
AF-B7DE50E70B,45-54,Hombre,Socio digital,25.0,Pontevedra,Comprador de servicios,1
AF-B34405C874,45-54,Mujer,Socio digital,31.0,A Coruña,Sin segmentar,-1
AF-EFCA65B407,35-44,Hombre,Socio digital,6.0,Barcelona,Sin segmentar,-1
AF-E8DC663CE9,55+,Mujer,Abonado,5.0,A Coruña,Comprador de servicios,1
AF-015C0ED11F,25-34,Hombre,Socio digital,7.0,Pontevedra,Aficionado latente,0
AF-57CD8166FE,55+,Hombre,Abonado,8.0,Otras,Seguidor social,2
AF-1B0CD3857E,35-44,Hombre,No socio,7.0,Lugo,Sin segmentar,-1
AF-0D781ADF95,35-44,Hombre,No socio,2.0,Otras,Seguidor social,2
AF-8BB1300615,25-34,Mujer,No socio,5.0,A Coruña,Sin segmentar,-1
AF-D79AA1B6BC,18-24,Hombre,No socio,14.0,A Coruña,Sin segmentar,-1
AF-6044142FC9,45-54,Hombre,Socio digital,3.0,Pontevedra,Hincha digital intensivo,3
AF-887AD8C467,35-44,Hombre,Socio digital,12.0,Lugo,Seguidor social,2
AF-9EA547B4B8,45-54,Hombre,Socio digital,3.0,Barcelona,Comprador de servicios,1
AF-6A1E16C160,45-54,Hombre,No socio,8.0,Lugo,Sin segmentar,-1
AF-B2A08918A3,18-24,Mujer,Socio digital,15.0,Ourense,Sin segmentar,-1
AF-6ABC201CF7,45-54,Hombre,No socio,3.0,Madrid,Comprador de servicios,1
AF-D9326E0A8A,25-34,Mujer,No socio,7.0,Pontevedra,Comprador de servicios,1
AF-F6C6A752B8,25-34,Hombre,Abonado,4.0,Pontevedra,Sin segmentar,-1
AF-BBCABD4F64,35-44,Hombre,Abonado,7.0,Madrid,Seguidor social,2
AF-7219BB587C,35-44,Hombre,No socio,9.0,A Coruña,Sin segmentar,-1
AF-97CD301DFB,35-44,Mujer,Abonado,15.0,A Coruña,Aficionado latente,0
AF-B77EF57FB9,55+,Hombre,No socio,8.0,A Coruña,Sin segmentar,-1
AF-9D53E81E23,45-54,Hombre,No socio,7.0,Lugo,Sin segmentar,-1
AF-8D4685AD67,35-44,Mujer,No socio,7.0,Lugo,Comprador de servicios,1
AF-65EF21247A,45-54,Hombre,Socio digital,7.0,Pontevedra,Sin segmentar,-1
AF-2B3AB5061B,25-34,Mujer,No socio,1.0,Pontevedra,Aficionado latente,0
AF-6F90121F11,25-34,Hombre,No socio,6.0,Madrid,Aficionado latente,0
AF-C1D4C0AE84,45-54,Hombre,No socio,15.0,Asturias,Seguidor social,2
AF-763D1AE32E,45-54,Hombre,No socio,17.0,A Coruña,Seguidor social,2
AF-49C5626CAB,55+,Hombre,Socio digital,3.0,A Coruña,Seguidor social,2
AF-1474CF8C01,35-44,Hombre,No socio,5.0,A Coruña,Aficionado latente,0
AF-3481B694D0,35-44,Mujer,No socio,7.0,A Coruña,Seguidor social,2
AF-9971FFA859,45-54,Hombre,Abonado,0.0,Pontevedra,Sin segmentar,-1
AF-4C7273FFED,18-24,Hombre,Socio digital,4.0,Pontevedra,Aficionado latente,0
AF-A5B3697FB4,55+,Hombre,Socio digital,5.0,Lugo,Seguidor social,2
AF-4FB9134E94,18-24,Hombre,Abonado,18.0,Madrid,Sin segmentar,-1
AF-A815B06120,18-24,Hombre,Abonado,9.0,A Coruña,Hincha digital intensivo,3
