aficionado_id,segmento,cluster,tramo_edad,sexo,tipo_abono,antiguedad_anios,provincia,sesiones_totales,duracion_media_min,tasa_apertura_notif,compras_totales,gasto_total_eur,plataformas_seguidas,interacciones_rrss,F_valor,F_ewom,F_info
AF-664C935608,Aficionado latente,0,25-34,Mujer,Abonado,10.0,Barcelona,62,3.9322727272727276,0.18410041841004185,0,52.91,2,25,5.0,2.5,3.5
AF-051D3F8133,Hincha digital intensivo,3,25-34,Mujer,Socio digital,3.0,Barcelona,315,8.281590909090909,0.5119617224880383,3,76.15,3,84,5.75,5.5,6.5
AF-7FACB7D105,Seguidor social,2,25-34,Mujer,Abonado,19.0,A Coruña,187,6.056590909090909,0.4247787610619469,4,18.59,3,49,4.0,4.25,2.0
AF-B7DE50E70B,Comprador de servicios,1,45-54,Hombre,Socio digital,25.0,Pontevedra,312,9.224772727272727,0.5175438596491229,8,39.46,1,21,4.5,3.25,5.0
AF-E8DC663CE9,Comprador de servicios,1,55+,Mujer,Abonado,5.0,A Coruña,232,6.961590909090909,0.5529953917050692,5,36.92,1,7,5.75,3.5,6.0
AF-015C0ED11F,Aficionado latente,0,25-34,Hombre,Socio digital,7.0,Pontevedra,10,0.8347727272727272,0.07179487179487179,0,0.0,0,0,3.0,4.75,2.5
AF-57CD8166FE,Seguidor social,2,55+,Hombre,Abonado,8.0,Otras,141,5.749090909090909,0.30701754385964913,2,0.0,2,15,5.25,4.25,4.5
AF-0D781ADF95,Seguidor social,2,35-44,Hombre,No socio,2.0,Otras,153,6.053181818181818,0.3835616438356164,1,0.0,2,91,4.5,3.25,3.5
AF-6044142FC9,Hincha digital intensivo,3,45-54,Hombre,Socio digital,3.0,Pontevedra,186,7.980227272727273,0.4372093023255814,7,34.3,4,129,5.75,3.25,4.5
AF-887AD8C467,Seguidor social,2,35-44,Hombre,Socio digital,12.0,Lugo,131,4.414090909090909,0.33004926108374383,3,0.0,1,50,3.5,4.75,3.5
AF-9EA547B4B8,Comprador de servicios,1,45-54,Hombre,Socio digital,3.0,Barcelona,330,9.398181818181818,0.5887850467289719,11,0.0,3,41,4.0,4.75,4.5
AF-6ABC201CF7,Comprador de servicios,1,45-54,Hombre,No socio,3.0,Madrid,304,10.127727272727272,0.5530973451327433,9,162.13,2,22,4.75,3.25,5.5
AF-D9326E0A8A,Comprador de servicios,1,25-34,Mujer,No socio,7.0,Pontevedra,279,7.632045454545454,0.5502183406113537,5,153.37,1,42,4.75,5.0,4.0
AF-BBCABD4F64,Seguidor social,2,35-44,Hombre,Abonado,7.0,Madrid,87,4.533181818181818,0.271889400921659,3,0.0,4,28,4.25,2.75,3.0
AF-97CD301DFB,Aficionado latente,0,35-44,Mujer,Abonado,15.0,A Coruña,7,0.6488636363636364,0.026881720430107527,0,0.0,1,34,4.75,4.0,3.5
AF-8D4685AD67,Comprador de servicios,1,35-44,Mujer,No socio,7.0,Lugo,311,8.16090909090909,0.5188679245283019,8,11.43,1,46,5.0,4.25,3.5
AF-2B3AB5061B,Aficionado latente,0,25-34,Mujer,No socio,1.0,Pontevedra,21,1.9502272727272727,0.08771929824561403,0,0.0,3,23,3.75,2.0,3.0
AF-6F90121F11,Aficionado latente,0,25-34,Hombre,No socio,6.0,Madrid,6,0.6961363636363637,0.0111731843575419,0,0.0,2,12,4.5,2.25,5.5
AF-C1D4C0AE84,Seguidor social,2,45-54,Hombre,No socio,15.0,Asturias,115,6.274772727272727,0.34545454545454546,3,25.24,1,41,4.75,6.0,3.0
AF-763D1AE32E,Seguidor social,2,45-54,Hombre,No socio,17.0,A Coruña,145,5.899318181818182,0.36818181818181817,7,71.78999999999999,2,145,4.25,3.75,4.0
AF-49C5626CAB,Seguidor social,2,55+,Hombre,Socio digital,3.0,A Coruña,142,4.232727272727273,0.3627906976744186,3,0.0,2,105,4.5,4.5,2.5
AF-1474CF8C01,Aficionado latente,0,35-44,Hombre,No socio,5.0,A Coruña,8,0.6247727272727274,0.04784688995215311,0,0.0,3,45,4.5,3.25,2.5
AF-3481B694D0,Seguidor social,2,35-44,Mujer,No socio,7.0,A Coruña,78,5.043181818181818,0.26406926406926406,2,0.0,2,72,3.75,6.0,4.5
AF-4C7273FFED,Aficionado latente,0,18-24,Hombre,Socio digital,4.0,Pontevedra,30,1.7847727272727274,0.11917098445595854,1,0.0,1,9,4.5,2.75,2.0
AF-A5B3697FB4,Seguidor social,2,55+,Hombre,Socio digital,5.0,Lugo,186,6.9156818181818185,0.3624454148471616,5,41.989999999999995,2,57,3.75,2.75,3.0
AF-A815B06120,Hincha digital intensivo,3,18-24,Hombre,Abonado,9.0,A Coruña,268,7.359999999999999,0.5065502183406113,9,21.39,4,284,5.5,3.75,4.5
AF-C1A4896EF2,Hincha digital intensivo,3,45-54,Hombre,Abonado,6.0,A Coruña,391,9.343863636363636,0.5668202764976958,7,170.72,3,126,5.75,5.25,4.0
AF-603AD841D5,Seguidor social,2,45-54,Hombre,Socio digital,12.0,Barcelona,195,6.651818181818182,0.405982905982906,3,0.0,1,42,4.5,3.75,3.0
AF-0854353552,Hincha digital intensivo,3,25-34,Hombre,Abonado,7.0,A Coruña,273,7.046590909090909,0.4424778761061947,9,185.86999999999998,4,230,4.75,5.0,5.0
AF-4168AD29C5,Seguidor social,2,25-34,Hombre,No socio,7.0,Otras,194,6.180454545454546,0.42272727272727273,5,0.0,2,144,5.0,3.75,2.5
AF-DD6658753A,Comprador de servicios,1,55+,Mujer,Socio digital,9.0,Lugo,466,10.582045454545455,0.7511520737327189,9,53.050000000000004,3,74,4.25,2.75,6.0
AF-FD7B174E7D,Comprador de servicios,1,45-54,Hombre,Abonado,8.0,Asturias,436,8.980909090909092,0.6971153846153846,8,29.68,2,35,5.5,5.0,4.0
AF-CB5C4B455C,Hincha digital intensivo,3,25-34,Hombre,Abonado,11.0,A Coruña,439,8.495909090909091,0.6355140186915887,9,65.21,2,115,6.25,5.75,6.5
AF-410E6E8E11,Seguidor social,2,45-54,Mujer,Socio digital,2.0,Otras,169,4.916590909090909,0.39436619718309857,3,3.92,1,41,3.75,5.25,2.5
AF-E252B9DEB0,Seguidor social,2,35-44,Hombre,Abonado,12.0,Otras,125,5.489772727272728,0.2714285714285714,1,0.0,3,54,5.25,4.0,4.0
AF-B5451C7FBC,Comprador de servicios,1,45-54,Mujer,Abonado,9.0,A Coruña,336,7.944090909090909,0.5662100456621004,12,77.09,1,17,6.5,4.5,6.5
AF-456DBCBD82,Aficionado latente,0,45-54,Hombre,Abonado,2.0,A Coruña,21,1.2647727272727272,0.09375,0,0.0,1,25,4.75,3.0,2.5
AF-394723D4CA,Comprador de servicios,1,35-44,Hombre,Abonado,6.0,A Coruña,450,8.901136363636363,0.7004830917874396,6,142.06,3,32,5.75,3.5,4.5
AF-10CB24817B,Seguidor social,2,45-54,Hombre,Abonado,1.0,Madrid,98,4.0434090909090905,0.2857142857142857,7,0.0,3,72,5.25,3.75,2.5
AF-8CC0E4BAC9,Seguidor social,2,45-54,Mujer,No socio,9.0,Pontevedra,105,4.0834090909090905,0.29577464788732394,2,17.57,4,93,4.0,3.75,3.0
AF-652002CCB4,Aficionado latente,0,18-24,Hombre,No socio,13.0,Otras,114,4.573636363636364,0.26337448559670784,1,0.0,1,14,5.0,2.5,3.5
AF-3A22B90256,Aficionado latente,0,35-44,Hombre,No socio,13.0,Asturias,18,1.3688636363636364,0.057692307692307696,1,0.0,1,35,4.0,4.25,3.0
