fecha_id,fecha,anio,mes_num,mes,anio_mes,dia_semana_num,dia_semana,semana_iso,trimestre,es_dia_partido,ventana_partido
20240801,2024-08-01,2024,8,Agosto,2024-08,4,Jueves,31,T3,0,Fuera de ventana
20240802,2024-08-02,2024,8,Agosto,2024-08,5,Viernes,31,T3,0,Fuera de ventana
20240803,2024-08-03,2024,8,Agosto,2024-08,6,Sábado,31,T3,0,Fuera de ventana
20240804,2024-08-04,2024,8,Agosto,2024-08,7,Domingo,31,T3,0,Fuera de ventana
20240805,2024-08-05,2024,8,Agosto,2024-08,1,Lunes,32,T3,0,Fuera de ventana
20240806,2024-08-06,2024,8,Agosto,2024-08,2,Martes,32,T3,0,Fuera de ventana
20240807,2024-08-07,2024,8,Agosto,2024-08,3,Miércoles,32,T3,0,Fuera de ventana
20240808,2024-08-08,2024,8,Agosto,2024-08,4,Jueves,32,T3,0,Fuera de ventana
20240809,2024-08-09,2024,8,Agosto,2024-08,5,Viernes,32,T3,0,Fuera de ventana
20240810,2024-08-10,2024,8,Agosto,2024-08,6,Sábado,32,T3,0,Fuera de ventana
20240811,2024-08-11,2024,8,Agosto,2024-08,7,Domingo,32,T3,0,Fuera de ventana
20240812,2024-08-12,2024,8,Agosto,2024-08,1,Lunes,33,T3,0,Fuera de ventana
20240813,2024-08-13,2024,8,Agosto,2024-08,2,Martes,33,T3,0,Fuera de ventana
20240814,2024-08-14,2024,8,Agosto,2024-08,3,Miércoles,33,T3,0,Previa (D-3 a D-1)
20240815,2024-08-15,2024,8,Agosto,2024-08,4,Jueves,33,T3,0,Previa (D-3 a D-1)
20240816,2024-08-16,2024,8,Agosto,2024-08,5,Viernes,33,T3,0,Previa (D-3 a D-1)
20240817,2024-08-17,2024,8,Agosto,2024-08,6,Sábado,33,T3,1,Día de partido
20240818,2024-08-18,2024,8,Agosto,2024-08,7,Domingo,33,T3,0,Post (D+1 a D+3)
20240819,2024-08-19,2024,8,Agosto,2024-08,1,Lunes,34,T3,0,Post (D+1 a D+3)
20240820,2024-08-20,2024,8,Agosto,2024-08,2,Martes,34,T3,0,Post (D+1 a D+3)
20240821,2024-08-21,2024,8,Agosto,2024-08,3,Miércoles,34,T3,0,Previa (D-3 a D-1)
20240822,2024-08-22,2024,8,Agosto,2024-08,4,Jueves,34,T3,0,Previa (D-3 a D-1)
20240823,2024-08-23,2024,8,Agosto,2024-08,5,Viernes,34,T3,0,Previa (D-3 a D-1)
20240824,2024-08-24,2024,8,Agosto,2024-08,6,Sábado,34,T3,1,Día de partido
20240825,2024-08-25,2024,8,Agosto,2024-08,7,Domingo,34,T3,0,Post (D+1 a D+3)
20240826,2024-08-26,2024,8,Agosto,2024-08,1,Lunes,35,T3,0,Post (D+1 a D+3)
