aficionado_id,plataforma,sigue,interacciones_temporada
AF-664C935608,Instagram,1,5
AF-664C935608,X,0,0
AF-664C935608,Facebook,0,0
AF-664C935608,TikTok,1,20
AF-664C935608,YouTube,0,0
AF-051D3F8133,Instagram,1,52
AF-051D3F8133,X,1,20
AF-051D3F8133,Facebook,0,0
AF-051D3F8133,TikTok,0,0
AF-051D3F8133,YouTube,1,12
AF-DD360253B0,Instagram,1,72
AF-DD360253B0,X,0,0
AF-DD360253B0,Facebook,1,34
AF-DD360253B0,TikTok,0,0
AF-DD360253B0,YouTube,0,0
AF-098A269628,Instagram,1,3
AF-098A269628,X,1,42
AF-098A269628,Facebook,0,0
AF-098A269628,TikTok,0,0
AF-098A269628,YouTube,0,0
AF-0DA851833C,Instagram,0,0
AF-0DA851833C,X,1,35
AF-0DA851833C,Facebook,0,0
AF-0DA851833C,TikTok,1,13
AF-0DA851833C,YouTube,0,0
AF-F9CFA62FD2,Instagram,0,0
AF-F9CFA62FD2,X,1,7
AF-F9CFA62FD2,Facebook,0,0
AF-F9CFA62FD2,TikTok,1,5
AF-F9CFA62FD2,YouTube,0,0
AF-06744EFE5F,Instagram,1,29
AF-06744EFE5F,X,0,0
AF-06744EFE5F,Facebook,1,48
AF-06744EFE5F,TikTok,0,0
AF-06744EFE5F,YouTube,0,0
AF-02A7FBB908,Instagram,0,0
AF-02A7FBB908,X,1,5
AF-02A7FBB908,Facebook,0,0
AF-02A7FBB908,TikTok,0,0
AF-02A7FBB908,YouTube,1,46
AF-AAC1AA1B94,Instagram,1,8
AF-AAC1AA1B94,X,1,83
AF-AAC1AA1B94,Facebook,1,109
AF-AAC1AA1B94,TikTok,1,24
AF-AAC1AA1B94,YouTube,0,0
AF-A89D0CE8F0,Instagram,1,71
AF-A89D0CE8F0,X,1,35
AF-A89D0CE8F0,Facebook,0,0
AF-A89D0CE8F0,TikTok,1,22
AF-A89D0CE8F0,YouTube,1,52
AF-7FACB7D105,Instagram,1,34
AF-7FACB7D105,X,0,0
AF-7FACB7D105,Facebook,1,1
AF-7FACB7D105,TikTok,0,0
AF-7FACB7D105,YouTube,1,14
AF-B7DE50E70B,Instagram,1,21
AF-B7DE50E70B,X,0,0
AF-B7DE50E70B,Facebook,0,0
AF-B7DE50E70B,TikTok,0,0
AF-B7DE50E70B,YouTube,0,0
AF-B34405C874,Instagram,1,13
AF-B34405C874,X,1,58
AF-B34405C874,Facebook,0,0
AF-B34405C874,TikTok,0,0
