aficionado_id,semana,sesiones,duracion_media_min,pantallas_vistas,notificaciones_recibidas,notificaciones_abiertas,compras_entradas,gasto_tienda_eur,fecha_id
AF-664C935608,2024-08-12,1,2.23,3.0,4,0,0,0.0,20240812
AF-664C935608,2024-08-19,2,7.64,9.0,8,1,0,0.0,20240819
AF-664C935608,2024-08-26,1,3.85,3.0,2,1,0,0.0,20240826
AF-664C935608,2024-09-02,2,1.62,2.0,8,2,0,0.0,20240902
AF-664C935608,2024-09-09,2,4.83,9.0,7,4,0,0.0,20240909
AF-664C935608,2024-09-16,1,6.52,8.0,7,1,0,0.0,20240916
AF-664C935608,2024-09-23,1,3.54,3.0,7,4,0,0.0,20240923
AF-664C935608,2024-09-30,1,4.65,6.0,4,3,0,52.91,20240930
AF-664C935608,2024-10-07,3,12.17,14.0,3,0,0,0.0,20241007
AF-664C935608,2024-10-14,0,0.0,0.0,5,0,0,0.0,20241014
AF-664C935608,2024-10-21,1,5.52,6.0,8,2,0,0.0,20241021
AF-664C935608,2024-10-28,2,5.6,11.0,3,2,0,0.0,20241028
AF-664C935608,2024-11-04,2,4.42,7.0,8,2,0,0.0,20241104
AF-664C935608,2024-11-11,1,2.56,4.0,6,1,0,0.0,20241111
AF-664C935608,2024-11-18,2,2.63,2.0,5,2,0,0.0,20241118
AF-664C935608,2024-11-25,2,2.71,2.0,2,2,0,0.0,20241125
AF-664C935608,2024-12-02,2,10.21,16.0,7,1,0,0.0,20241202
AF-664C935608,2024-12-09,0,0.0,0.0,3,0,0,0.0,20241209
AF-664C935608,2024-12-16,1,1.07,1.0,6,0,0,0.0,20241216
AF-664C935608,2024-12-23,3,6.86,17.0,7,0,0,0.0,20241223
AF-664C935608,2024-12-30,1,2.66,2.0,7,1,0,0.0,20241230
AF-664C935608,2025-01-06,0,0.0,0.0,4,0,0,0.0,20250106
AF-664C935608,2025-01-13,1,6.12,12.0,2,0,0,0.0,20250113
AF-664C935608,2025-01-20,0,0.0,0.0,6,0,0,0.0,20250120
AF-664C935608,2025-01-27,1,1.3,2.0,7,1,0,0.0,20250127
AF-664C935608,2025-02-03,1,2.38,4.0,8,1,0,0.0,20250203
AF-664C935608,2025-02-10,3,10.28,17.0,7,2,0,0.0,20250210
AF-664C935608,2025-02-17,5,4.74,3.0,2,0,0,0.0,20250217
AF-664C935608,2025-02-24,1,2.88,7.0,5,2,0,0.0,20250224
AF-664C935608,2025-03-03,2,2.25,4.0,8,1,0,0.0,20250303
AF-664C935608,2025-03-10,3,5.93,12.0,3,0,0,0.0,20250310
AF-664C935608,2025-03-17,3,3.73,2.0,3,1,0,0.0,20250317
AF-664C935608,2025-03-24,1,2.84,5.0,4,0,0,0.0,20250324
