jornada,jugador_id,ventana,menciones,sent_positivo,sent_negativo,sent_neutro,fecha_id,fecha,resultado,jornada_etiqueta,goles,asistencias,minutos,valoracion,participo,pct_positivo
1,J01,Pre,49,29,10,10,20240817,2024-08-17,Empate,J01,0.0,0.0,82.0,6.46,1,0.5918367346938775
1,J01,Post,178,100,37,41,20240817,2024-08-17,Empate,J01,0.0,0.0,82.0,6.46,1,0.5617977528089888
1,J02,Pre,207,106,48,53,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.5120772946859904
1,J02,Post,39,18,8,13,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.46153846153846156
1,J03,Pre,167,87,42,38,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.5209580838323353
1,J03,Post,121,59,31,31,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.48760330578512395
1,J04,Pre,346,156,95,95,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,6.21,1,0.4508670520231214
1,J04,Post,599,354,107,138,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,6.21,1,0.5909849749582637
1,J05,Pre,137,68,24,45,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.49635036496350365
1,J05,Post,53,25,14,14,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.4716981132075472
1,J06,Pre,131,59,30,42,20240817,2024-08-17,Empate,J01,0.0,0.0,73.0,5.92,1,0.45038167938931295
1,J06,Post,237,112,53,72,20240817,2024-08-17,Empate,J01,0.0,0.0,73.0,5.92,1,0.47257383966244726
1,J07,Pre,195,105,45,45,20240817,2024-08-17,Empate,J01,0.0,0.0,71.0,5.94,1,0.5384615384615384
1,J07,Post,291,109,86,96,20240817,2024-08-17,Empate,J01,0.0,0.0,71.0,5.94,1,0.3745704467353952
1,J08,Pre,88,41,22,25,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.4659090909090909
1,J08,Post,37,15,7,15,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.40540540540540543
1,J09,Pre,191,99,38,54,20240817,2024-08-17,Empate,J01,0.0,0.0,87.0,5.7,1,0.518324607329843
1,J09,Post,363,171,86,106,20240817,2024-08-17,Empate,J01,0.0,0.0,87.0,5.7,1,0.47107438016528924
1,J10,Pre,71,34,19,18,20240817,2024-08-17,Empate,J01,0.0,0.0,89.0,6.16,1,0.4788732394366197
1,J10,Post,217,107,39,71,20240817,2024-08-17,Empate,J01,0.0,0.0,89.0,6.16,1,0.4930875576036866
1,J11,Pre,148,88,24,36,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,5.7,1,0.5945945945945946
1,J11,Post,319,147,77,95,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,5.7,1,0.4608150470219436
1,J12,Pre,164,94,30,40,20240817,2024-08-17,Empate,J01,0.0,0.0,17.0,6.01,1,0.573170731707317
1,J12,Post,328,158,89,81,20240817,2024-08-17,Empate,J01,0.0,0.0,17.0,6.01,1,0.4817073170731707
1,J13,Pre,172,99,37,36,20240817,2024-08-17,Empate,J01,0.0,0.0,12.0,6.57,1,0.5755813953488372
1,J13,Post,321,157,95,69,20240817,2024-08-17,Empate,J01,0.0,0.0,12.0,6.57,1,0.48909657320872274
1,J14,Pre,66,36,15,15,20240817,2024-08-17,Empate,J01,1.0,0.0,79.0,7.01,1,0.5454545454545454
1,J14,Post,187,126,34,27,20240817,2024-08-17,Empate,J01,1.0,0.0,79.0,7.01,1,0.6737967914438503
1,J15,Pre,58,26,13,19,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.4482758620689655
1,J15,Post,29,12,8,9,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.41379310344827586
1,J16,Pre,113,54,30,29,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.4778761061946903
1,J16,Post,0,0,0,0,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,
1,J17,Pre,147,76,27,44,20240817,2024-08-17,Empate,J01,0.0,0.0,36.0,4.59,1,0.5170068027210885
1,J17,Post,203,75,46,82,20240817,2024-08-17,Empate,J01,0.0,0.0,36.0,4.59,1,0.3694581280788177
1,J18,Pre,433,223,122,88,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,5.55,1,0.5150115473441108
1,J18,Post,475,231,91,153,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,5.55,1,0.4863157894736842
1,J19,Pre,183,99,44,40,20240817,2024-08-17,Empate,J01,0.0,0.0,71.0,5.77,1,0.5409836065573771
1,J19,Post,348,164,78,106,20240817,2024-08-17,Empate,J01,0.0,0.0,71.0,5.77,1,0.47126436781609193
1,J20,Pre,253,132,43,78,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.5217391304347826
1,J20,Post,21,11,5,5,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.5238095238095238
1,J21,Pre,313,175,65,73,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,7.22,1,0.5591054313099042
1,J21,Post,688,306,175,207,20240817,2024-08-17,Empate,J01,0.0,0.0,90.0,7.22,1,0.44476744186046513
1,J22,Pre,295,156,78,61,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.5288135593220339
1,J22,Post,84,43,15,26,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.5119047619047619
1,J23,Pre,463,274,108,81,20240817,2024-08-17,Empate,J01,0.0,0.0,1.0,6.03,1,0.591792656587473
1,J23,Post,526,243,141,142,20240817,2024-08-17,Empate,J01,0.0,0.0,1.0,6.03,1,0.4619771863117871
1,J24,Pre,312,161,70,81,20240817,2024-08-17,Empate,J01,0.0,0.0,24.0,5.8,1,0.5160256410256411
1,J24,Post,414,189,87,138,20240817,2024-08-17,Empate,J01,0.0,0.0,24.0,5.8,1,0.45652173913043476
1,J25,Pre,295,160,69,66,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.5423728813559322
1,J25,Post,101,50,28,23,20240817,2024-08-17,Empate,J01,0.0,0.0,0.0,,0,0.49504950495049505
2,J01,Pre,105,50,21,34,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.47619047619047616
2,J01,Post,18,8,5,5,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.4444444444444444
2,J02,Pre,187,89,38,60,20240824,2024-08-24,Victoria,J02,0.0,0.0,82.0,6.49,1,0.47593582887700536
2,J02,Post,514,325,100,89,20240824,2024-08-24,Victoria,J02,0.0,0.0,82.0,6.49,1,0.632295719844358
2,J03,Pre,195,95,43,57,20240824,2024-08-24,Victoria,J02,0.0,0.0,17.0,6.24,1,0.48717948717948717
2,J03,Post,444,297,53,94,20240824,2024-08-24,Victoria,J02,0.0,0.0,17.0,6.24,1,0.668918918918919
2,J04,Pre,328,193,50,85,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.5884146341463414
2,J04,Post,174,84,32,58,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.4827586206896552
2,J05,Pre,245,154,52,39,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.6285714285714286
2,J05,Post,119,52,37,30,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.4369747899159664
2,J06,Pre,146,73,31,42,20240824,2024-08-24,Victoria,J02,0.0,0.0,9.0,6.13,1,0.5
2,J06,Post,346,261,47,38,20240824,2024-08-24,Victoria,J02,0.0,0.0,9.0,6.13,1,0.7543352601156069
2,J07,Pre,300,130,86,84,20240824,2024-08-24,Victoria,J02,1.0,0.0,90.0,7.75,1,0.43333333333333335
2,J07,Post,861,656,111,94,20240824,2024-08-24,Victoria,J02,1.0,0.0,90.0,7.75,1,0.7619047619047619
2,J08,Pre,96,49,20,27,20240824,2024-08-24,Victoria,J02,0.0,0.0,80.0,5.12,1,0.5104166666666666
2,J08,Post,241,128,54,59,20240824,2024-08-24,Victoria,J02,0.0,0.0,80.0,5.12,1,0.5311203319502075
2,J09,Pre,223,115,40,68,20240824,2024-08-24,Victoria,J02,0.0,1.0,12.0,7.11,1,0.515695067264574
2,J09,Post,802,654,83,65,20240824,2024-08-24,Victoria,J02,0.0,1.0,12.0,7.11,1,0.8154613466334164
2,J10,Pre,60,27,13,20,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.45
2,J10,Post,0,0,0,0,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,
2,J11,Pre,188,102,33,53,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.5425531914893617
2,J11,Post,32,12,8,12,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.375
2,J12,Pre,177,92,44,41,20240824,2024-08-24,Victoria,J02,0.0,0.0,13.0,6.03,1,0.519774011299435
2,J12,Post,471,292,94,85,20240824,2024-08-24,Victoria,J02,0.0,0.0,13.0,6.03,1,0.6199575371549894
2,J13,Pre,244,131,64,49,20240824,2024-08-24,Victoria,J02,0.0,0.0,89.0,5.39,1,0.5368852459016393
2,J13,Post,383,233,53,97,20240824,2024-08-24,Victoria,J02,0.0,0.0,89.0,5.39,1,0.608355091383812
2,J14,Pre,61,32,17,12,20240824,2024-08-24,Victoria,J02,0.0,0.0,75.0,5.94,1,0.5245901639344263
2,J14,Post,125,77,18,30,20240824,2024-08-24,Victoria,J02,0.0,0.0,75.0,5.94,1,0.616
2,J15,Pre,72,39,14,19,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.5416666666666666
2,J15,Post,14,6,3,5,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.42857142857142855
2,J16,Pre,103,60,20,23,20240824,2024-08-24,Victoria,J02,0.0,0.0,69.0,5.33,1,0.5825242718446602
2,J16,Post,219,150,38,31,20240824,2024-08-24,Victoria,J02,0.0,0.0,69.0,5.33,1,0.684931506849315
2,J17,Pre,157,97,22,38,20240824,2024-08-24,Victoria,J02,0.0,0.0,74.0,7.26,1,0.6178343949044586
2,J17,Post,416,283,58,75,20240824,2024-08-24,Victoria,J02,0.0,0.0,74.0,7.26,1,0.6802884615384616
2,J18,Pre,241,122,50,69,20240824,2024-08-24,Victoria,J02,0.0,0.0,90.0,5.29,1,0.5062240663900415
2,J18,Post,644,440,106,98,20240824,2024-08-24,Victoria,J02,0.0,0.0,90.0,5.29,1,0.6832298136645962
2,J19,Pre,179,96,41,42,20240824,2024-08-24,Victoria,J02,0.0,1.0,90.0,5.48,1,0.5363128491620112
2,J19,Post,489,304,72,113,20240824,2024-08-24,Victoria,J02,0.0,1.0,90.0,5.48,1,0.621676891615542
2,J20,Pre,240,122,55,63,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.5083333333333333
2,J20,Post,10,4,2,4,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.4
2,J21,Pre,380,169,106,105,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.44473684210526315
2,J21,Post,47,24,11,12,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.5106382978723404
2,J22,Pre,273,151,44,78,20240824,2024-08-24,Victoria,J02,1.0,0.0,85.0,6.32,1,0.5531135531135531
2,J22,Post,1216,993,130,93,20240824,2024-08-24,Victoria,J02,1.0,0.0,85.0,6.32,1,0.8166118421052632
2,J23,Pre,191,108,32,51,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.5654450261780105
2,J23,Post,6,2,1,3,20240824,2024-08-24,Victoria,J02,0.0,0.0,0.0,,0,0.3333333333333333
2,J24,Pre,296,169,68,59,20240824,2024-08-24,Victoria,J02,0.0,0.0,30.0,5.79,1,0.5709459459459459
2,J24,Post,519,305,76,138,20240824,2024-08-24,Victoria,J02,0.0,0.0,30.0,5.79,1,0.5876685934489403
2,J25,Pre,246,127,57,62,20240824,2024-08-24,Victoria,J02,0.0,0.0,83.0,6.36,1,0.516260162601626
2,J25,Post,523,396,50,77,20240824,2024-08-24,Victoria,J02,0.0,0.0,83.0,6.36,1,0.7571701720841301
3,J01,Pre,73,36,20,17,20240831,2024-08-31,Victoria,J03,0.0,0.0,90.0,5.64,1,0.4931506849315068
3,J01,Post,207,142,22,43,20240831,2024-08-31,Victoria,J03,0.0,0.0,90.0,5.64,1,0.6859903381642513
3,J02,Pre,167,98,26,43,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.5868263473053892
3,J02,Post,123,57,23,43,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.4634146341463415
3,J03,Pre,177,113,25,39,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.6384180790960452
3,J03,Post,31,16,8,7,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.5161290322580645
3,J04,Pre,332,206,73,53,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.6204819277108434
3,J04,Post,145,81,26,38,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.5586206896551724
3,J05,Pre,238,135,49,54,20240831,2024-08-31,Victoria,J03,0.0,0.0,77.0,6.04,1,0.5672268907563025
3,J05,Post,542,339,73,130,20240831,2024-08-31,Victoria,J03,0.0,0.0,77.0,6.04,1,0.6254612546125461
3,J06,Pre,117,62,25,30,20240831,2024-08-31,Victoria,J03,0.0,0.0,88.0,7.13,1,0.5299145299145299
3,J06,Post,424,336,40,48,20240831,2024-08-31,Victoria,J03,0.0,0.0,88.0,7.13,1,0.7924528301886793
3,J07,Pre,82,53,13,16,20240831,2024-08-31,Victoria,J03,0.0,0.0,5.0,6.84,1,0.6463414634146342
3,J07,Post,535,320,120,95,20240831,2024-08-31,Victoria,J03,0.0,0.0,5.0,6.84,1,0.5981308411214953
3,J08,Pre,114,72,15,27,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.631578947368421
3,J08,Post,0,0,0,0,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,
3,J09,Pre,243,152,49,42,20240831,2024-08-31,Victoria,J03,0.0,0.0,74.0,6.38,1,0.6255144032921811
3,J09,Post,505,369,67,69,20240831,2024-08-31,Victoria,J03,0.0,0.0,74.0,6.38,1,0.7306930693069307
3,J10,Pre,108,65,14,29,20240831,2024-08-31,Victoria,J03,0.0,0.0,86.0,6.64,1,0.6018518518518519
3,J10,Post,273,176,36,61,20240831,2024-08-31,Victoria,J03,0.0,0.0,86.0,6.64,1,0.6446886446886447
3,J11,Pre,238,138,37,63,20240831,2024-08-31,Victoria,J03,0.0,0.0,77.0,5.54,1,0.5798319327731093
3,J11,Post,403,234,87,82,20240831,2024-08-31,Victoria,J03,0.0,0.0,77.0,5.54,1,0.5806451612903226
3,J12,Pre,131,76,25,30,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.5801526717557252
3,J12,Post,93,45,20,28,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.4838709677419355
3,J13,Pre,273,150,71,52,20240831,2024-08-31,Victoria,J03,0.0,0.0,78.0,5.93,1,0.5494505494505495
3,J13,Post,493,316,67,110,20240831,2024-08-31,Victoria,J03,0.0,0.0,78.0,5.93,1,0.640973630831643
3,J14,Pre,54,32,12,10,20240831,2024-08-31,Victoria,J03,0.0,0.0,26.0,6.38,1,0.5925925925925926
3,J14,Post,128,87,21,20,20240831,2024-08-31,Victoria,J03,0.0,0.0,26.0,6.38,1,0.6796875
3,J15,Pre,73,43,16,14,20240831,2024-08-31,Victoria,J03,0.0,0.0,89.0,5.95,1,0.589041095890411
3,J15,Post,160,102,25,33,20240831,2024-08-31,Victoria,J03,0.0,0.0,89.0,5.95,1,0.6375
3,J16,Pre,87,48,16,23,20240831,2024-08-31,Victoria,J03,0.0,0.0,0.0,,0,0.5517241379310345
