post_id,fecha_id,fecha,plataforma,tipo_contenido,formato,es_dia_partido,jornada,jornada_etiqueta,resultado,rival,condicion,alcance,impresiones,likes,comentarios,compartidos,guardados,interacciones,comentarios_positivos,comentarios_negativos,comentarios_neutros,atipico
P00001,20240805,2024-08-05,Instagram,Entrenamiento,Vídeo corto,0,,,,,,10352.0,16610.0,470.0,29,49,41.0,589.0,18,4,7,False
P00002,20240805,2024-08-05,Instagram,Patrocinador,Imagen,0,,,,,,12634.0,19037.0,196.0,14,14,13.0,237.0,8,2,4,False
P00003,20240805,2024-08-05,X,Institucional,Imagen,0,,,,,,28112.0,45544.0,122.0,6,6,21.0,155.0,3,1,2,False
P00004,20240805,2024-08-05,Facebook,Patrocinador,Imagen,0,,,,,,17709.0,22778.0,77.0,6,6,5.0,94.0,2,1,3,False
P00005,20240805,2024-08-05,Facebook,Cantera,Vídeo corto,0,,,,,,30518.0,36656.0,172.0,11,8,17.0,208.0,6,2,3,False
P00006,20240806,2024-08-06,Instagram,Resumen,Imagen,0,,,,,,46075.0,53079.0,3197.0,297,261,104.0,3859.0,150,57,90,False
P00007,20240806,2024-08-06,Instagram,Entrenamiento,Imagen,0,,,,,,22168.0,27740.0,833.0,81,91,52.0,1057.0,46,18,17,False
P00008,20240806,2024-08-06,Instagram,Efeméride,Vídeo largo,0,,,,,,26923.0,38123.0,1342.0,79,119,84.0,1624.0,45,16,18,False
P00009,20240806,2024-08-06,X,Patrocinador,Vídeo corto,0,,,,,,21169.0,24646.0,274.0,20,20,22.0,336.0,11,5,4,False
P00010,20240806,2024-08-06,X,Fichajes,Vídeo largo,0,,,,,,14533.0,22640.0,266.0,18,27,10.0,321.0,10,4,4,False
P00011,20240806,2024-08-06,Facebook,Entrenamiento,Vídeo largo,0,,,,,,14519.0,16789.0,74.0,7,5,8.0,94.0,3,1,3,False
P00012,20240806,2024-08-06,Facebook,Entrenamiento,Vídeo corto,0,,,,,,7852.0,9327.0,99.0,4,6,7.0,116.0,1,1,2,False
P00013,20240806,2024-08-06,Facebook,Entrenamiento,Imagen,0,,,,,,16197.0,19351.0,135.0,12,7,13.0,167.0,6,2,4,False
P00014,20240806,2024-08-06,TikTok,Fichajes,Vídeo corto,0,,,,,,10964.0,16916.0,1372.0,96,94,54.0,1616.0,46,25,25,False
P00015,20240807,2024-08-07,Instagram,Afición,Vídeo corto,0,,,,,,20360.0,26734.0,1605.0,89,153,75.0,1922.0,48,24,17,False
P00016,20240807,2024-08-07,Instagram,Cantera,Carrusel,0,,,,,,8165.0,12746.0,529.0,26,43,17.0,615.0,12,6,8,False
P00017,20240807,2024-08-07,Instagram,Afición,Imagen,0,,,,,,16209.0,21518.0,721.0,43,61,28.0,853.0,20,10,13,False
P00018,20240807,2024-08-07,YouTube,Cantera,Vídeo largo,0,,,,,,2577.0,3718.0,53.0,2,3,5.0,63.0,0,0,2,False
P00019,20240807,2024-08-07,YouTube,Efeméride,Vídeo corto,0,,,,,,4623.0,6682.0,127.0,10,8,15.0,160.0,5,2,3,False
P00020,20240807,2024-08-07,YouTube,Efeméride,Vídeo largo,0,,,,,,3353.0,5454.0,69.0,5,6,1.0,81.0,2,1,2,False
P00021,20240808,2024-08-08,Instagram,Afición,Carrusel,0,,,,,,44155.0,69828.0,2147.0,193,161,163.0,2664.0,111,39,43,False
P00022,20240808,2024-08-08,Instagram,Previa,Imagen,0,,,,,,16303.0,20913.0,562.0,32,58,63.0,715.0,16,8,8,False
P00023,20240808,2024-08-08,X,Entrenamiento,Texto,0,,,,,,15970.0,24290.0,90.0,7,5,4.0,106.0,4,1,2,False
P00024,20240808,2024-08-08,X,Cantera,Vídeo corto,0,,,,,,31690.0,39759.0,719.0,38,63,71.0,891.0,22,6,10,False
P00025,20240808,2024-08-08,YouTube,Resumen,Vídeo corto,0,,,,,,6351.0,10404.0,491.0,32,26,58.0,607.0,14,9,9,False
P00026,20240808,2024-08-08,YouTube,Fichajes,Vídeo corto,0,,,,,,4775.0,7606.0,261.0,15,13,18.0,307.0,8,3,4,False
P00027,20240808,2024-08-08,YouTube,Entrenamiento,Vídeo largo,0,,,,,,5763.0,7898.0,118.0,7,7,12.0,144.0,3,1,3,False
P00028,20240809,2024-08-09,Instagram,Entrenamiento,Vídeo corto,0,,,,,,23526.0,38595.0,1203.0,75,124,50.0,1452.0,38,16,21,False
P00029,20240809,2024-08-09,Instagram,Resumen,Imagen,0,,,,,,18208.0,28163.0,862.0,66,86,28.0,1042.0,35,14,17,False
P00030,20240809,2024-08-09,Instagram,Entrenamiento,Carrusel,0,,,,,,16855.0,23740.0,286.0,25,29,25.0,365.0,12,4,9,False
P00031,20240809,2024-08-09,X,Resumen,Vídeo corto,0,,,,,,14988.0,19301.0,627.0,56,41,51.0,775.0,24,13,19,False
P00032,20240809,2024-08-09,X,Efeméride,Texto,0,,,,,,18576.0,22868.0,169.0,8,15,14.0,206.0,4,1,3,False
P00033,20240809,2024-08-09,Facebook,Afición,Carrusel,0,,,,,,28377.0,36427.0,398.0,32,26,48.0,504.0,17,8,7,False
P00034,20240809,2024-08-09,Facebook,Efeméride,Imagen,0,,,,,,5523.0,7897.0,41.0,2,3,2.0,48.0,1,0,1,False
P00035,20240810,2024-08-10,Instagram,Institucional,Carrusel,0,,,,,,16082.0,25533.0,474.0,39,47,46.0,606.0,21,9,9,False
P00036,20240810,2024-08-10,Instagram,Institucional,Carrusel,0,,,,,,13341.0,15290.0,273.0,14,21,15.0,323.0,7,3,4,False
P00037,20240810,2024-08-10,X,Efeméride,Imagen,0,,,,,,12686.0,17448.0,177.0,16,9,10.0,212.0,7,4,5,False
P00038,20240810,2024-08-10,X,Efeméride,Texto,0,,,,,,18592.0,27527.0,248.0,17,14,24.0,303.0,9,2,6,False
P00039,20240810,2024-08-10,X,Afición,Vídeo corto,0,,,,,,19118.0,26026.0,299.0,16,20,40.0,375.0,7,3,6,False
P00040,20240810,2024-08-10,X,Entrenamiento,Imagen,0,,,,,,20731.0,25303.0,254.0,16,24,16.0,310.0,8,3,5,False
P00041,20240810,2024-08-10,X,Entrenamiento,Imagen,0,,,,,,14115.0,16148.0,255.0,16,19,10.0,300.0,7,4,5,False
P00042,20240810,2024-08-10,Facebook,Efeméride,Vídeo corto,0,,,,,,4969.0,6214.0,86.0,8,7,0.0,101.0,3,3,2,False
P00043,20240810,2024-08-10,YouTube,Resumen,Vídeo largo,0,,,,,,1555.0,7337.0,36.0,1,3,4.0,44.0,0,0,1,False
P00044,20240810,2024-08-10,YouTube,Entrenamiento,Vídeo largo,0,,,,,,5431.0,8213.0,114.0,6,9,13.0,142.0,3,1,2,False
P00045,20240811,2024-08-11,Instagram,Afición,Vídeo largo,0,,,,,,36004.0,55047.0,2164.0,120,177,160.0,2621.0,58,21,41,False
P00046,20240811,2024-08-11,X,Patrocinador,Imagen,0,,,,,,28419.0,34819.0,120.0,5,9,9.0,143.0,2,0,3,False
P00047,20240811,2024-08-11,Facebook,Fichajes,Imagen,0,,,,,,9052.0,13561.0,84.0,5,7,11.0,107.0,3,1,1,False
P00048,20240812,2024-08-12,Instagram,Entrenamiento,Carrusel,0,,,,,,8624.0,11326.0,361.0,24,34,18.0,437.0,12,4,8,False
P00049,20240812,2024-08-12,X,Entrenamiento,Texto,0,,,,,,18370.0,22070.0,237.0,21,22,16.0,296.0,12,3,6,False
P00050,20240812,2024-08-12,Facebook,Entrenamiento,Vídeo largo,0,,,,,,22544.0,26780.0,159.0,7,8,16.0,190.0,3,1,3,False
P00051,20240812,2024-08-12,YouTube,Entrenamiento,Vídeo largo,0,,,,,,7628.0,11893.0,91.0,6,9,9.0,115.0,3,1,2,False
P00052,20240813,2024-08-13,Instagram,Entrenamiento,Texto,0,,,,,,58635.0,91261.0,1750.0,126,87,168.0,2131.0,76,21,29,False
P00053,20240813,2024-08-13,Instagram,Cantera,Imagen,0,,,,,,24134.0,38280.0,465.0,37,23,52.0,577.0,18,8,11,False
P00054,20240813,2024-08-13,Instagram,Previa,Vídeo corto,0,,,,,,32958.0,43528.0,1790.0,121,130,77.0,2118.0,68,22,31,False
P00055,20240813,2024-08-13,YouTube,Patrocinador,Vídeo corto,0,,,,,,5773.0,8122.0,86.0,4,4,6.0,100.0,2,0,2,False
P00056,20240814,2024-08-14,Instagram,Fichajes,Vídeo corto,0,,,,,,10684.0,16002.0,981.0,85,85,70.0,1221.0,39,15,31,False
P00057,20240814,2024-08-14,Instagram,Resumen,Imagen,0,,,,,,29972.0,46864.0,2194.0,106,139,200.0,2639.0,60,21,25,False
P00058,20240814,2024-08-14,Instagram,Efeméride,Imagen,0,,,,,,19064.0,31086.0,598.0,34,34,59.0,725.0,18,9,7,False
P00059,20240815,2024-08-15,Instagram,Institucional,Carrusel,0,,,,,,66663.0,89255.0,2119.0,187,137,55.0,2498.0,73,40,74,False
P00060,20240815,2024-08-15,X,Cantera,Texto,0,,,,,,12828.0,15535.0,85.0,5,8,7.0,105.0,2,1,2,False
P00061,20240815,2024-08-15,Facebook,Afición,Imagen,0,,,,,,16033.0,22470.0,464.0,22,38,36.0,560.0,11,6,5,False
P00062,20240815,2024-08-15,TikTok,Afición,Vídeo corto,0,,,,,,5686.0,7205.0,664.0,49,62,41.0,816.0,29,10,10,False
P00063,20240815,2024-08-15,YouTube,Entrenamiento,Vídeo corto,0,,,,,,3761.0,5165.0,170.0,14,17,9.0,210.0,6,3,5,False
P00064,20240816,2024-08-16,Facebook,Entrenamiento,Vídeo corto,0,,,,,,10510.0,14950.0,212.0,19,10,10.0,251.0,11,3,5,False
P00065,20240816,2024-08-16,Facebook,Entrenamiento,Vídeo corto,0,,,,,,20264.0,24864.0,706.0,39,51,10.0,806.0,23,6,10,False
P00066,20240816,2024-08-16,YouTube,Previa,Vídeo largo,0,,,,,,4295.0,4924.0,102.0,7,11,11.0,131.0,4,1,2,False
P00067,20240817,2024-08-17,Instagram,Afición,Vídeo largo,1,1.0,J01,Empate,UE Montseny,Local,24249.0,27346.0,883.0,64,88,0.0,1035.0,29,19,16,False
P00068,20240817,2024-08-17,Instagram,Directo,Carrusel,1,1.0,J01,Empate,UE Montseny,Local,20673.0,26479.0,1589.0,98,149,16.0,1852.0,50,28,20,False
P00069,20240817,2024-08-17,X,Previa,Imagen,1,1.0,J01,Empate,UE Montseny,Local,16984.0,21807.0,153.0,10,15,8.0,186.0,6,1,3,False
P00070,20240817,2024-08-17,X,Resumen,Vídeo corto,1,1.0,J01,Empate,UE Montseny,Local,19024.0,22495.0,439.0,33,38,26.0,536.0,16,8,9,False
P00071,20240817,2024-08-17,Facebook,Resumen,Imagen,1,1.0,J01,Empate,UE Montseny,Local,17880.0,21797.0,312.0,21,33,31.0,397.0,13,4,4,False
P00072,20240817,2024-08-17,Facebook,Patrocinador,Vídeo corto,1,1.0,J01,Empate,UE Montseny,Local,48391.0,68276.0,380.0,22,27,14.0,443.0,10,5,7,False
P00073,20240817,2024-08-17,Facebook,Afición,Imagen,1,1.0,J01,Empate,UE Montseny,Local,29187.0,42661.0,312.0,22,27,19.0,380.0,10,5,7,False
P00074,20240817,2024-08-17,Facebook,Institucional,Imagen,1,1.0,J01,Empate,UE Montseny,Local,26155.0,32101.0,153.0,8,15,6.0,182.0,4,1,3,False
P00075,20240817,2024-08-17,TikTok,Resumen,Vídeo corto,1,1.0,J01,Empate,UE Montseny,Local,11598.0,14547.0,1754.0,163,152,179.0,2248.0,88,30,45,False
P00076,20240817,2024-08-17,TikTok,Afición,Vídeo corto,1,1.0,J01,Empate,UE Montseny,Local,6846.0,8334.0,886.0,50,73,110.0,1119.0,25,11,14,False
P00077,20240817,2024-08-17,TikTok,Resumen,Vídeo corto,1,1.0,J01,Empate,UE Montseny,Local,4333.0,4941.0,1172.0,93,90,79.0,1434.0,40,27,26,False
P00078,20240817,2024-08-17,YouTube,Previa,Vídeo corto,1,1.0,J01,Empate,UE Montseny,Local,8582.0,12972.0,279.0,22,17,37.0,355.0,11,4,7,False
