mes,plataforma,seguidores,fecha_id,anio_mes
2024-08-01,Instagram,49813,20240801,2024-08
2024-09-01,Instagram,51792,20240901,2024-09
2024-10-01,Instagram,53665,20241001,2024-10
2024-11-01,Instagram,55727,20241101,2024-11
2024-12-01,Instagram,58123,20241201,2024-12
2025-01-01,Instagram,59843,20250101,2025-01
2025-02-01,Instagram,63222,20250201,2025-02
2025-03-01,Instagram,65921,20250301,2025-03
2025-04-01,Instagram,68323,20250401,2025-04
2025-05-01,Instagram,70193,20250501,2025-05
2025-06-01,Instagram,72256,20250601,2025-06
2024-08-01,X,40258,20240801,2024-08
2024-09-01,X,40422,20240901,2024-09
2024-10-01,X,40932,20241001,2024-10
2024-11-01,X,41734,20241101,2024-11
2024-12-01,X,41204,20241201,2024-12
2025-01-01,X,41954,20250101,2025-01
2025-02-01,X,41609,20250201,2025-02
2025-03-01,X,41879,20250301,2025-03
2025-04-01,X,42205,20250401,2025-04
2025-05-01,X,42712,20250501,2025-05
2025-06-01,X,43462,20250601,2025-06
2024-08-01,Facebook,31960,20240801,2024-08
2024-09-01,Facebook,31844,20240901,2024-09
2024-10-01,Facebook,31807,20241001,2024-10
2024-11-01,Facebook,32487,20241101,2024-11
2024-12-01,Facebook,32565,20241201,2024-12
2025-01-01,Facebook,32442,20250101,2025-01
2025-02-01,Facebook,32670,20250201,2025-02
2025-03-01,Facebook,32647,20250301,2025-03
2025-04-01,Facebook,32993,20250401,2025-04
2025-05-01,Facebook,32683,20250501,2025-05
2025-06-01,Facebook,33613,20250601,2025-06
2024-08-01,TikTok,13384,20240801,2024-08
2024-09-01,TikTok,14138,20240901,2024-09
2024-10-01,TikTok,15106,20241001,2024-10
2024-11-01,TikTok,16245,20241101,2024-11
2024-12-01,TikTok,17321,20241201,2024-12
2025-01-01,TikTok,18480,20250101,2025-01
2025-02-01,TikTok,19910,20250201,2025-02
2025-03-01,TikTok,21215,20250301,2025-03
2025-04-01,TikTok,22708,20250401,2025-04
2025-05-01,TikTok,24192,20250501,2025-05
2025-06-01,TikTok,25937,20250601,2025-06
2024-08-01,YouTube,9839,20240801,2024-08
2024-09-01,YouTube,10219,20240901,2024-09
2024-10-01,YouTube,10537,20241001,2024-10
2024-11-01,YouTube,10921,20241101,2024-11
2024-12-01,YouTube,11129,20241201,2024-12
2025-01-01,YouTube,11389,20250101,2025-01
2025-02-01,YouTube,11597,20250201,2025-02
2025-03-01,YouTube,12110,20250301,2025-03
2025-04-01,YouTube,12203,20250401,2025-04
2025-05-01,YouTube,12554,20250501,2025-05
2025-06-01,YouTube,12828,20250601,2025-06
