aficionado_id,vp_1,vp_2,vp_3,vp_4,ewom_1,ewom_2,ewom_3,ewom_4,info_1,info_2
AF-0EDCAE5ACC,5,5,6,5,5,6,5,6,5,6
AF-942B80F7DF,4,4,4,5,5,4,5,4,7,6
AF-58A3704A4C,6,5,6,4,5,6,4,5,4,4
AF-5DA1ADF1E9,6,5,6,4,4,5,3,4,2,1
AF-39AB1EBECF,4,4,4,4,3,3,2,5,6,5
AF-E33131BB8B,4,3,3,4,4,2,2,2,4,3
AF-CB5C4B455C,7,6,6,6,7,4,6,6,6,7
AF-63E9337F52,4,4,4,5,1,3,1,1,3,2
AF-30BA329EAB,5,5,5,3,3,2,3,3,3,4
AF-30BE22DFD7,5,5,5,4,4,3,4,4,4,3
AF-B7DE50E70B,4,6,5,3,4,3,4,2,5,5
AF-DCCE581116,4,5,5,3,4,6,6,4,5,6
AF-67297445DE,5,5,6,3,4,4,5,4,5,5
AF-4168AD29C5,6,5,5,4,4,4,4,3,3,2
AF-4ACB7D54DA,5,6,6,4,3,4,4,4,6,5
AF-4FB4571648,6,3,4,4,6,5,5,5,4,4
AF-F7B9C37CE4,5,5,6,5,5,5,4,5,5,6
AF-D67A3466DB,5,5,6,5,4,5,5,5,2,2
AF-5E2D55D347,6,6,6,5,7,4,4,4,1,3
AF-4102267151,5,6,6,7,5,3,2,3,6,5
AF-5A7247B06E,5,5,3,3,4,5,5,5,6,4
AF-5EA0C192C0,6,6,7,5,5,4,5,3,5,4
AF-93907029AF,4,5,5,5,2,3,4,3,6,6
AF-3769394122,5,6,5,4,3,4,4,4,5,5
AF-A6B472DC62,4,4,3,3,4,2,3,2,4,3
AF-32CBDF5462,7,7,6,7,2,3,3,2,4,3
AF-17D1B3DB60,6,6,5,6,6,5,5,6,7,5
AF-D8F0A475CF,4,6,4,4,5,4,2,3,5,4
AF-4EF66EABD0,4,6,5,4,2,2,4,3,5,7
AF-BDFAA47536,6,6,6,5,2,4,5,4,3,4
AF-2815D39260,2,4,3,5,3,3,4,3,5,5
AF-615A26D23B,4,4,4,4,3,3,4,4,3,3
AF-BABA8E59D9,6,4,5,5,5,4,4,3,3,3
AF-C4F0A7B022,4,5,5,5,3,4,4,4,4,5
AF-E253835673,4,5,5,4,4,1,3,2,5,4
AF-13AA254FED,5,4,4,2,6,3,5,4,4,4
AF-A5E26504A3,3,5,5,5,4,3,3,3,4,4
AF-AC49CE43FC,4,4,4,4,5,4,5,5,5,5
AF-C4AED358FF,5,5,6,7,4,5,3,4,5,4
AF-EA85019ABD,4,4,5,5,2,2,4,2,3,4
AF-0FDA4033C8,6,6,6,6,4,5,4,4,6,4
AF-17BAD2C4FA,4,5,5,5,5,5,6,5,2,3
AF-7211CAF04E,5,5,6,6,5,4,4,5,4,3
AF-AD1ABBB16A,5,4,4,5,7,5,5,5,6,7
AF-9054BE71B0,5,4,5,3,1,2,2,1,3,3
AF-06B85A6B73,6,5,6,4,4,4,4,5,5,5
AF-30342EA8A4,4,6,3,4,3,2,3,3,4,4
AF-5495BF12B4,5,4,4,5,4,5,4,4,2,3
AF-0CA96F5218,4,5,5,4,3,3,2,1,5,4
AF-27800CCF31,5,5,5,4,2,2,2,1,5,4
AF-25AC913C63,4,5,6,6,4,4,3,4,4,5
AF-8F1186AA9D,5,6,5,5,4,4,4,3,7,6
AF-FE827538B4,5,4,4,5,2,1,1,2,4,4
AF-8264AFF768,6,6,6,4,5,4,4,4,3,2
AF-0BE48FF27F,5,5,5,6,4,6,4,6,4,5
AF-3D1827CA97,4,5,5,4,5,6,5,5,5,4
AF-CB6DAEA47C,4,4,3,3,4,2,2,1,3,4
AF-2766DA3912,5,6,6,6,4,3,6,3,2,3
AF-158AEACECF,5,6,7,4,4,4,4,4,4,3
AF-31846F2740,5,5,5,3,2,2,3,2,3,2
AF-B865AC68B8,4,4,4,4,5,5,5,5,3,4
AF-06953068FD,6,7,7,6,4,5,7,6,4,4
AF-A16A59BF40,3,4,4,2,3,3,3,3,4,4
