post_id,fecha,plataforma,tipo_contenido,formato,es_dia_partido,alcance,impresiones,likes,comentarios,compartidos,guardados,comentarios_positivos,comentarios_negativos
P00001,2024-08-05,Instagram,Entrenamiento,Vídeo corto,0,10352.0,16610.0,470,29,49,41.0,18,4
P00002,2024-08-05,Instagram,Patrocinador,Imagen,0,12634.0,19037.0,196,14,14,13.0,8,2
P00003,2024-08-05,X,Institucional,Imagen,0,28112.0,45544.0,122,6,6,21.0,3,1
P00004,2024-08-05,Facebook,Patrocinador,Imagen,0,17709.0,22778.0,77,6,6,5.0,2,1
P00005,2024-08-05,Facebook,Cantera,Vídeo corto,0,30518.0,36656.0,172,11,8,17.0,6,2
P00006,2024-08-06,Instagram,Resumen,Imagen,0,46075.0,53079.0,3197,297,261,104.0,150,57
P00007,2024-08-06,Instagram,Entrenamiento,Imagen,0,22168.0,27740.0,833,81,91,52.0,46,18
P00008,2024-08-06,Instagram,Efeméride,Vídeo largo,0,26923.0,38123.0,1342,79,119,84.0,45,16
P00009,2024-08-06,X,Patrocinador,Vídeo corto,0,21169.0,24646.0,274,20,20,22.0,11,5
P00010,2024-08-06,X,Fichajes,Vídeo largo,0,14533.0,22640.0,266,18,27,10.0,10,4
P00011,2024-08-06,Facebook,Entrenamiento,Vídeo largo,0,14519.0,16789.0,74,7,5,8.0,3,1
P00012,2024-08-06,Facebook,Entrenamiento,Vídeo corto,0,7852.0,9327.0,99,4,6,7.0,1,1
P00013,2024-08-06,Facebook,Entrenamiento,Imagen,0,16197.0,19351.0,135,12,7,13.0,6,2
P00014,2024-08-06,TikTok,Fichajes,Vídeo corto,0,10964.0,16916.0,1372,96,94,54.0,46,25
P00015,2024-08-07,Instagram,Afición,Vídeo corto,0,20360.0,26734.0,1605,89,153,75.0,48,24
P00016,2024-08-07,Instagram,Cantera,Carrusel,0,8165.0,12746.0,529,26,43,17.0,12,6
P00017,2024-08-07,Instagram,Afición,Imagen,0,16209.0,21518.0,721,43,61,28.0,20,10
P00018,2024-08-07,YouTube,Cantera,Vídeo largo,0,2577.0,3718.0,53,2,3,5.0,0,0
P00019,2024-08-07,YouTube,Efeméride,Vídeo corto,0,4623.0,6682.0,127,10,8,15.0,5,2
P00020,2024-08-07,YouTube,Efeméride,Vídeo largo,0,3353.0,5454.0,69,5,6,1.0,2,1
P00021,2024-08-08,Instagram,Afición,Carrusel,0,44155.0,69828.0,2147,193,161,163.0,111,39
P00022,2024-08-08,Instagram,Previa,Imagen,0,16303.0,20913.0,562,32,58,63.0,16,8
P00023,2024-08-08,X,Entrenamiento,Texto,0,15970.0,24290.0,90,7,5,4.0,4,1
P00024,2024-08-08,X,Cantera,Vídeo corto,0,31690.0,39759.0,719,38,63,71.0,22,6
P00025,2024-08-08,YouTube,Resumen,Vídeo corto,0,6351.0,10404.0,491,32,26,58.0,14,9
P00026,2024-08-08,YouTube,Fichajes,Vídeo corto,0,4775.0,7606.0,261,15,13,18.0,8,3
P00027,2024-08-08,YouTube,Entrenamiento,Vídeo largo,0,5763.0,7898.0,118,7,7,12.0,3,1
P00028,2024-08-09,Instagram,Entrenamiento,Vídeo corto,0,23526.0,38595.0,1203,75,124,50.0,38,16
P00029,2024-08-09,Instagram,Resumen,Imagen,0,18208.0,28163.0,862,66,86,28.0,35,14
P00030,2024-08-09,Instagram,Entrenamiento,Carrusel,0,16855.0,23740.0,286,25,29,25.0,12,4
P00031,2024-08-09,X,Resumen,Vídeo corto,0,14988.0,19301.0,627,56,41,51.0,24,13
P00032,2024-08-09,X,Efeméride,Texto,0,18576.0,22868.0,169,8,15,14.0,4,1
P00033,2024-08-09,Facebook,Afición,Carrusel,0,28377.0,36427.0,398,32,26,48.0,17,8
P00034,2024-08-09,Facebook,Efeméride,Imagen,0,5523.0,7897.0,41,2,3,2.0,1,0
P00035,2024-08-10,Instagram,Institucional,Carrusel,0,16082.0,25533.0,474,39,47,46.0,21,9
P00036,2024-08-10,Instagram,Institucional,Carrusel,0,13341.0,15290.0,273,14,21,15.0,7,3
P00037,2024-08-10,X,Efeméride,Imagen,0,12686.0,17448.0,177,16,9,10.0,7,4
P00038,2024-08-10,X,Efeméride,Texto,0,18592.0,27527.0,248,17,14,24.0,9,2
P00039,2024-08-10,X,Afición,Vídeo corto,0,19118.0,26026.0,299,16,20,40.0,7,3
P00040,2024-08-10,X,Entrenamiento,Imagen,0,20731.0,25303.0,254,16,24,,8,3
P00041,2024-08-10,X,Entrenamiento,Imagen,0,14115.0,16148.0,255,16,19,10.0,7,4
P00042,2024-08-10,Facebook,Efeméride,Vídeo corto,0,4969.0,6214.0,86,8,7,0.0,3,3
P00043,2024-08-10,YouTube,Resumen,Vídeo largo,0,1555.0,,36,1,3,4.0,0,0
P00044,2024-08-10,YouTube,Entrenamiento,Vídeo largo,0,5431.0,8213.0,114,6,9,13.0,3,1
P00045,2024-08-11,Instagram,Afición,Vídeo largo,0,36004.0,55047.0,2164,120,177,160.0,58,21
P00046,2024-08-11,X,Patrocinador,Imagen,0,28419.0,34819.0,120,5,9,9.0,2,0
P00047,2024-08-11,Facebook,Fichajes,Imagen,0,9052.0,13561.0,84,5,7,11.0,3,1
P00048,2024-08-12,Instagram,Entrenamiento,Carrusel,0,8624.0,11326.0,361,24,34,18.0,12,4
P00049,2024-08-12,X,Entrenamiento,Texto,0,18370.0,22070.0,237,21,22,16.0,12,3
P00050,2024-08-12,Facebook,Entrenamiento,Vídeo largo,0,22544.0,26780.0,159,7,8,16.0,3,1
P00051,2024-08-12,YouTube,Entrenamiento,Vídeo largo,0,7628.0,11893.0,91,6,9,9.0,3,1
P00052,2024-08-13,instagram,Entrenamiento,Texto,0,58635.0,91261.0,1750,126,87,168.0,76,21
P00053,2024-08-13,Instagram,Cantera,Imagen,0,24134.0,38280.0,465,37,23,52.0,18,8
P00054,2024-08-13,INSTAGRAM,Previa,Vídeo corto,0,32958.0,43528.0,1790,121,130,77.0,68,22
P00055,2024-08-13,YouTube,Patrocinador,Vídeo corto,0,5773.0,8122.0,86,4,4,6.0,2,0
P00056,2024-08-14,Instagram,Fichajes,Vídeo corto,0,10684.0,16002.0,981,85,85,70.0,39,15
P00057,2024-08-14,Instagram,Resumen,Imagen,0,29972.0,46864.0,2194,106,139,200.0,60,21
P00058,2024-08-14,Instagram,Efeméride,Imagen,0,19064.0,31086.0,598,34,34,59.0,18,9
P00059,2024-08-15,instagram,Institucional,Carrusel,0,66663.0,89255.0,2119,187,137,55.0,73,40
P00060,2024-08-15,X,Cantera,Texto,0,12828.0,15535.0,85,5,8,7.0,2,1
P00061,2024-08-15,Facebook,Afición,Imagen,0,16033.0,22470.0,464,22,38,36.0,11,6
P00062,2024-08-15,TikTok,Afición,Vídeo corto,0,5686.0,7205.0,664,49,62,41.0,29,10
P00063,2024-08-15,YouTube,Entrenamiento,Vídeo corto,0,3761.0,5165.0,170,14,17,9.0,6,3
P00064,2024-08-16,Facebook,Entrenamiento,Vídeo corto,0,10510.0,14950.0,212,19,10,10.0,11,3
P00065,2024-08-16,Facebook,Entrenamiento,Vídeo corto,0,20264.0,24864.0,706,39,51,,23,6
P00066,2024-08-16,YouTube,Previa,Vídeo largo,0,4295.0,4924.0,102,7,11,11.0,4,1
P00067,2024-08-17,Instagram,Afición,Vídeo largo,1,24249.0,27346.0,883,64,88,0.0,29,19
P00068,2024-08-17,Instagram,Directo,Carrusel,1,20673.0,26479.0,1589,98,149,16.0,50,28
P00069,2024-08-17,X,Previa,Imagen,1,16984.0,21807.0,153,10,15,8.0,6,1
P00070,2024-08-17,X,Resumen,Vídeo corto,1,19024.0,22495.0,439,33,38,26.0,16,8
P00071,2024-08-17,Facebook,Resumen,Imagen,1,17880.0,21797.0,312,21,33,31.0,13,4
P00072,2024-08-17,Facebook,Patrocinador,Vídeo corto,1,48391.0,68276.0,380,22,27,14.0,10,5
P00073,2024-08-17,Facebook,Afición,Imagen,1,29187.0,42661.0,312,22,27,19.0,10,5
P00074,2024-08-17,Facebook,Institucional,Imagen,1,26155.0,32101.0,153,8,15,6.0,4,1
P00075,2024-08-17,TikTok,Resumen,Vídeo corto,1,11598.0,14547.0,1754,163,152,179.0,88,30
