jornada,jugador_id,titular,minutos,goles,asistencias,tarjetas,valoracion
1,J21,1,90,0,0,0,7.22
1,J01,1,82,0,0,0,6.46
1,J11,1,90,0,0,0,5.7
1,J07,1,71,0,0,1,5.94
1,J09,1,87,0,0,0,5.7
1,J19,1,71,0,0,0,5.77
1,J06,1,73,0,0,0,5.92
1,J18,1,90,0,0,0,5.55
1,J04,1,90,0,0,1,6.21
1,J14,1,79,1,0,0,7.01
1,J10,1,89,0,0,0,6.16
1,J17,0,36,0,0,0,4.59
1,J13,0,12,0,0,1,6.57
1,J24,0,24,0,0,0,5.8
1,J12,0,17,0,0,0,6.01
1,J23,0,1,0,0,0,6.03
2,J18,1,90,0,0,0,5.29
2,J08,1,80,0,0,1,5.12
2,J02,1,82,0,0,0,6.49
2,J22,1,85,1,0,1,6.32
2,J19,1,90,0,1,0,5.48
2,J16,1,69,0,0,0,5.33
2,J13,1,89,0,0,1,5.39
2,J17,1,74,0,0,0,7.26
2,J25,1,83,0,0,1,6.36
2,J14,1,75,0,0,0,5.94
2,J07,1,90,1,0,0,7.75
2,J09,0,12,0,1,0,7.11
2,J24,0,30,0,0,0,5.79
2,J12,0,13,0,0,0,6.03
2,J06,0,9,0,0,0,6.13
2,J03,0,17,0,0,1,6.24
3,J15,1,89,0,0,0,5.95
3,J25,1,90,0,0,0,6.88
3,J05,1,77,0,0,0,6.04
3,J10,1,86,0,0,0,6.64
3,J24,1,66,0,0,0,6.21
3,J06,1,88,0,0,0,7.13
3,J01,1,90,0,0,0,5.64
3,J13,1,78,0,0,0,5.93
3,J09,1,74,0,0,0,6.38
3,J23,1,90,1,0,0,6.69
3,J11,1,77,0,0,0,5.54
3,J07,0,5,0,0,0,6.84
3,J14,0,26,0,0,0,6.38
3,J21,0,13,0,0,0,6.46
3,J18,0,26,0,0,0,6.2
3,J22,0,39,0,0,1,6.94
4,J18,1,60,0,0,0,7.34
4,J06,1,73,0,0,0,4.88
4,J05,1,85,0,0,0,5.98
4,J24,1,90,0,0,0,6.14
4,J04,1,76,0,0,0,5.95
4,J15,1,90,0,0,0,6.98
4,J03,1,84,0,0,0,5.8
4,J01,1,90,0,0,0,5.6
4,J13,1,84,0,0,0,6.01
4,J17,1,82,0,1,0,7.02
4,J07,1,77,0,0,0,5.44
4,J11,0,26,0,0,0,5.78
4,J20,0,23,0,0,0,6.58
4,J08,0,3,0,0,0,5.75
4,J02,0,8,0,0,0,5.54
4,J16,0,45,0,0,0,5.07
5,J12,1,85,0,0,0,4.69
5,J20,1,67,0,0,0,6.25
5,J11,1,78,1,0,0,6.97
5,J18,1,88,0,0,0,6.28
5,J19,1,90,0,0,0,5.2
5,J08,1,74,0,0,0,4.97
5,J07,1,90,0,0,0,5.17
5,J24,1,88,0,0,0,5.36
5,J10,1,76,0,0,1,6.01
5,J15,1,90,0,0,0,5.9
5,J17,1,90,0,0,0,5.89
5,J25,0,23,0,0,0,5.41
5,J16,0,11,0,0,0,6.64
5,J02,0,25,0,0,0,6.19
5,J21,0,39,0,0,0,5.85
5,J13,0,38,0,0,0,6.65
6,J03,1,74,0,0,0,5.77
6,J19,1,90,0,0,0,6.42
6,J14,1,90,0,0,1,6.09
6,J15,1,73,0,0,0,6.18
6,J18,1,84,0,0,0,5.78
6,J12,1,75,1,0,0,6.39
6,J04,1,88,0,0,0,6.48
6,J25,1,69,0,0,0,7.23
6,J08,1,90,0,1,0,6.57
6,J05,1,90,0,0,0,6.25
6,J13,1,82,0,0,0,5.82
6,J23,0,42,0,0,0,6.02
6,J22,0,28,0,0,0,6.1
6,J10,0,39,0,0,0,5.62
6,J01,0,17,0,0,0,5.12
6,J17,0,21,0,0,0,6.87
7,J22,1,90,0,0,0,6.32
7,J08,1,90,0,0,0,6.73
7,J20,1,75,0,0,0,5.9
7,J07,1,68,0,0,0,5.13
7,J23,1,90,0,0,0,5.67
7,J04,1,81,1,0,0,7.7
7,J09,1,72,0,0,0,5.88
7,J03,1,67,0,1,0,6.89
7,J17,1,71,0,0,0,5.62
7,J16,1,77,0,0,1,6.42
7,J02,1,63,0,0,0,5.29
7,J21,0,33,1,0,1,7.35
7,J11,0,33,0,0,0,5.96
7,J15,0,45,0,0,1,4.7
7,J05,0,26,0,0,0,5.36
7,J24,0,22,0,0,0,6.85
8,J06,1,89,0,0,1,5.62
8,J15,1,90,0,0,0,4.99
8,J05,1,90,0,0,0,7.12
8,J07,1,81,0,0,1,5.93
8,J23,1,90,0,0,0,6.6
8,J22,1,90,0,0,0,6.88
8,J17,1,90,0,0,0,6.36
8,J16,1,73,0,0,1,5.4
8,J03,1,85,0,0,0,5.47
8,J02,1,90,0,0,0,6.88
8,J21,1,90,0,0,1,6.47
8,J14,0,45,0,1,0,7.14
8,J18,0,29,0,1,1,6.52
8,J11,0,18,0,0,0,5.68
8,J10,0,20,0,0,0,5.35
8,J04,0,9,0,0,0,5.46
9,J02,1,70,0,0,0,5.27
9,J14,1,49,0,0,0,5.36
9,J03,1,85,0,0,1,6.02
9,J04,1,72,0,1,0,6.9
9,J25,1,78,1,1,0,7.56
9,J01,1,69,0,0,0,5.08
9,J16,1,81,0,0,0,5.17
9,J12,1,65,0,0,0,6.04
9,J18,1,85,0,0,1,5.31
9,J07,1,73,0,0,0,5.08
9,J22,1,90,0,1,0,5.95
9,J24,0,29,0,0,1,4.88
9,J08,0,27,0,0,1,5.51
9,J23,0,44,1,0,0,6.4
9,J11,0,34,0,0,0,6.43
9,J19,0,6,0,0,0,5.18
10,J23,1,79,1,0,0,5.55
10,J01,1,83,0,0,1,5.83
10,J12,1,90,0,0,0,4.64
10,J17,1,90,0,0,0,5.09
10,J11,1,90,0,0,0,5.87
10,J05,1,76,0,0,0,5.21
10,J16,1,90,0,0,0,6.09
10,J24,1,87,0,1,0,7.06
10,J02,1,90,0,0,0,6.0
10,J19,1,71,0,0,1,4.92
10,J14,1,89,0,0,0,4.69
10,J13,0,32,0,0,0,5.07
10,J08,0,32,0,0,0,5.49
10,J22,0,23,0,0,0,5.47
10,J09,0,5,0,0,1,3.89
10,J03,0,35,0,0,0,6.07
11,J14,1,81,0,0,0,4.96
11,J17,1,90,0,0,0,5.66
11,J10,1,90,0,0,0,4.98
11,J07,1,90,0,0,0,6.21
11,J19,1,62,0,0,0,7.47
11,J04,1,62,0,0,0,6.47
11,J02,1,90,0,0,0,5.42
11,J08,1,78,0,0,0,5.96
11,J22,1,74,0,0,0,6.4
11,J06,1,90,0,0,0,6.54
11,J23,1,70,0,0,0,3.85
11,J12,0,14,0,0,0,4.89
11,J13,0,21,0,0,0,6.09
11,J25,0,1,0,0,0,5.38
11,J01,0,30,0,0,0,5.49
11,J15,0,37,0,0,0,5.91
12,J13,1,68,0,0,1,6.61
12,J09,1,90,0,0,0,6.43
12,J12,1,90,0,1,0,6.22
12,J24,1,90,0,0,0,5.86
12,J20,1,80,0,0,0,5.42
12,J17,1,77,0,0,0,6.08
12,J23,1,58,0,0,0,5.83
12,J21,1,71,0,0,0,5.8
12,J02,1,88,0,0,0,6.84
12,J14,1,66,0,0,0,5.73
12,J18,1,88,0,0,0,5.71
12,J22,0,14,0,0,1,7.64
12,J03,0,22,0,0,0,6.35
12,J11,0,11,0,0,1,5.23
12,J10,0,35,0,0,0,6.13
12,J01,0,29,0,0,0,6.43
13,J13,1,90,1,0,0,6.58
13,J12,1,81,0,0,0,5.55
13,J11,1,68,0,1,0,6.29
13,J22,1,88,0,0,1,6.95
13,J01,1,90,0,0,0,6.83
13,J04,1,90,0,0,0,6.18
13,J20,1,84,0,0,0,6.01
13,J24,1,88,0,0,0,7.57
13,J07,1,90,0,0,0,6.92
13,J06,1,72,0,0,0,7.04
13,J25,1,73,0,0,0,5.67
13,J15,0,13,0,0,0,7.05
13,J03,0,17,0,0,0,6.32
13,J17,0,23,0,0,0,5.84
13,J08,0,45,0,0,0,7.68
13,J10,0,21,0,0,0,6.0
14,J15,1,76,0,0,0,6.95
14,J06,1,90,0,0,0,6.95
14,J25,1,78,1,0,0,8.91
14,J09,1,82,0,0,1,6.5
14,J04,1,81,0,0,0,7.0
14,J13,1,89,1,0,0,6.19
14,J18,1,90,0,1,0,6.69
