mes,plataforma,seguidores
2024-08-01,Instagram,49813
2024-09-01,Instagram,51792
2024-10-01,Instagram,53665
2024-11-01,Instagram,55727
2024-12-01,Instagram,58123
2025-01-01,Instagram,59843
2025-02-01,Instagram,63222
2025-03-01,Instagram,65921
2025-04-01,Instagram,68323
2025-05-01,Instagram,70193
2025-06-01,Instagram,72256
2024-08-01,X,40258
2024-09-01,X,40422
2024-10-01,X,40932
2024-11-01,X,41734
2024-12-01,X,41204
2025-01-01,X,41954
2025-02-01,X,41609
2025-03-01,X,41879
2025-04-01,X,42205
2025-05-01,X,42712
2025-06-01,X,43462
2024-08-01,Facebook,31960
2024-09-01,Facebook,31844
2024-10-01,Facebook,31807
2024-11-01,Facebook,32487
2024-12-01,Facebook,32565
2025-01-01,Facebook,32442
2025-02-01,Facebook,32670
2025-03-01,Facebook,32647
2025-04-01,Facebook,32993
2025-05-01,Facebook,32683
2025-06-01,Facebook,33613
2024-08-01,TikTok,13384
2024-09-01,TikTok,14138
2024-10-01,TikTok,15106
2024-11-01,TikTok,16245
2024-12-01,TikTok,17321
2025-01-01,TikTok,18480
2025-02-01,TikTok,19910
2025-03-01,TikTok,21215
2025-04-01,TikTok,22708
2025-05-01,TikTok,24192
2025-06-01,TikTok,25937
2024-08-01,YouTube,9839
2024-09-01,YouTube,10219
2024-10-01,YouTube,10537
2024-11-01,YouTube,10921
2024-12-01,YouTube,11129
2025-01-01,YouTube,11389
2025-02-01,YouTube,11597
2025-03-01,YouTube,12110
2025-04-01,YouTube,12203
2025-05-01,YouTube,12554
2025-06-01,YouTube,12828
